#{"t_start": 1785147035.9891043, "env_id": "LunarLander-v3"}
r,l,t
-351.158977,123,2.265877
-131.249228,91,2.272497
-207.867674,68,2.274999
-28.939202,100,2.281804
-165.300501,102,2.281804
-402.625129,96,2.299343
-157.741211,85,2.30442
-229.135721,81,2.30442
-119.822411,103,2.319162
-428.380855,88,2.326081
-278.337247,92,2.361124
-166.019491,102,2.441208
-310.611112,143,2.563557
-220.121167,123,2.620634
-96.372826,72,2.648175
-157.212363,54,2.673906
-100.301358,62,2.720969
-268.766185,91,2.785976
-93.710181,79,2.823074
-113.791946,97,2.861132
-154.828559,123,2.955686
-94.302528,115,3.048825
-364.354509,88,3.105283
-133.376395,63,3.141153
-109.342956,79,3.19863
-84.958948,65,3.237416
-78.999237,91,3.28357
71.457892,1000,3.970542
-154.116159,110,4.04425
-102.614092,109,4.1035
-131.138611,116,4.171311
-67.530056,140,4.255451
-217.889131,93,4.322237
-195.960375,134,4.383813
-191.314254,88,4.455404
-118.444748,97,4.562741
-414.084903,100,4.654703
-275.836913,102,4.750471
-174.263419,107,4.823076
-82.768101,68,4.891805
-187.308387,128,4.995105
-122.360681,69,5.047244
-132.450975,117,5.133058
-336.313268,127,5.231292
-156.884496,124,5.338731
-58.106555,89,5.399209
-65.968279,79,5.442503
-80.929482,66,5.49036
-156.411796,95,5.575491
-60.678435,90,5.648275
-75.189147,108,5.71933
-98.735438,128,5.801619
-55.94817,96,5.930957
-203.507184,125,6.121522
-41.558613,101,6.256058
-170.201428,120,6.380772
-121.418462,89,6.505118
-105.1628,119,6.681977
-113.652075,110,6.839529
-55.360814,90,6.943649
-96.175994,116,7.062514
-120.26316,88,7.127687
-113.226449,71,7.19787
-98.299868,83,7.260588
-120.214871,81,7.353987
-124.394712,97,7.465037
-251.471876,144,7.60834
-64.932027,127,7.752776
-99.054637,117,7.872544
-256.415149,79,7.932279
-48.292455,131,8.052841
-94.004446,70,8.132653
-110.23469,96,8.23929
-143.03512,131,8.350254
-248.979489,117,8.433433
-72.541241,128,8.539773
-170.874227,97,8.672185
-111.927427,126,8.838485
-98.694408,136,9.020007
-131.095227,112,9.160614
-111.640193,116,9.284709
-87.566754,167,9.448738
-21.183518,134,9.584933
-208.759086,94,9.681127
-94.815554,74,9.769716
-172.203855,136,9.899541
-220.117017,127,10.033345
-75.020712,87,10.121447
-195.170971,137,10.252747
-96.905296,75,10.318221
-146.072299,128,10.436663
-97.947115,83,10.523438
-76.03904,87,10.616918
-110.648451,85,10.686133
-68.155562,82,10.745335
-69.89653,102,10.820804
-18.717261,75,10.900781
-116.391166,90,10.984313
-77.66227,100,11.09642
-60.281974,139,11.28862
-59.959654,95,11.402584
-23.365705,107,11.501665
-77.267844,64,11.569935
-59.680282,205,11.752329
-65.648659,74,11.838655
-164.079243,139,11.975415
-78.594367,111,12.075944
-105.569542,100,12.168128
-100.001209,80,12.232481
-37.914354,96,12.331884
-91.881832,74,12.38282
-61.700572,149,12.532732
-73.907133,128,12.690408
-76.200928,73,12.779193
