#{"t_start": 1785158415.265721, "env_id": "LunarLander-v3"}
r,l,t
-424.470997,108,2.110031
-87.205998,119,2.154716
-124.427315,85,2.176861
-126.323966,80,2.206805
-113.142891,105,2.238856
-319.267337,114,2.288687
-120.03837,96,2.324049
-53.017653,115,2.350175
-114.734216,100,2.400538
-198.106967,77,2.428328
-91.054889,71,3.020365
-231.0213,86,3.077784
-125.967848,67,3.118127
-93.74587,70,3.171485
-268.504777,97,3.213175
-88.851797,80,3.241721
-128.299528,72,3.26857
-376.83434,90,3.299929
-203.962033,97,3.336009
-87.258407,89,3.382679
-136.325706,64,3.417674
-475.50577,112,3.469848
-95.915269,66,3.994332
-120.334945,77,4.051358
-214.843535,77,4.096286
-268.383298,88,4.16182
-275.294505,82,4.193259
-183.08907,114,4.240355
-110.335239,87,4.25605
-129.265184,59,4.287728
-223.488845,101,4.319253
-146.663694,109,4.350759
-138.147507,73,4.366925
-295.861018,106,4.399076
-162.847323,85,4.917371
-119.034243,100,4.993632
-145.211118,84,5.057909
-116.488947,80,5.102312
-237.689291,100,5.123198
-245.935426,96,5.154918
-184.661152,66,5.187123
-68.343757,76,5.215921
-142.502761,81,5.243924
-200.22231,80,5.27062
-165.413319,101,5.305987
-291.985685,84,5.335781
-101.437248,116,5.852484
-154.928753,92,5.915257
-297.466192,92,5.977529
-70.353676,74,6.003401
-178.024878,71,6.029253
-135.66113,86,6.061159
-127.284687,90,6.098581
-114.89775,63,6.117905
-123.33503,71,6.145108
-133.34562,75,6.183646
-144.114022,82,6.214509
-178.335132,99,6.248119
-200.280806,102,6.797148
-112.26132,73,6.836677
-126.073542,102,6.908178
-128.716611,102,6.974185
-184.164518,104,7.025225
-137.794074,93,7.049365
-121.461089,109,7.09928
-165.103043,119,7.132761
-236.88881,81,7.164305
-119.879119,86,7.182975
-102.259837,110,7.641618
-22.436069,113,7.719016
-362.740397,128,7.80488
-69.693876,69,7.829869
-64.128253,83,7.859793
-458.667831,109,7.911912
-76.813748,66,7.93922
-134.468687,90,7.969067
-128.278173,95,8.000413
-163.560841,113,8.033539
-79.671435,73,8.063463
-148.265764,90,8.647838
-198.216303,127,8.71402
-150.363871,89,8.779137
-250.933878,93,8.818059
-227.905854,106,8.853916
-101.852234,85,8.885455
-130.506117,120,8.932999
-131.065746,152,8.983901
-101.365457,68,9.006553
-148.56427,102,9.038134
-44.086117,135,9.698222
-167.551811,104,9.769304
-139.298181,101,9.83488
-137.983315,91,9.874146
-236.424335,109,9.913794
-63.707296,102,9.949402
-43.146545,68,9.970956
-92.484859,93,10.002302
-27.95991,124,10.043936
-107.797836,100,10.068296
-87.391581,83,10.613469
-128.867608,109,10.657149
-139.131467,125,10.739467
-175.314834,114,10.806395
-93.144613,107,10.835718
-117.409453,122,10.885012
-54.574411,109,10.920483
-284.7218,122,10.961479
-69.898627,172,11.016088
-134.137167,96,11.546237
-118.274457,108,11.613181
-92.582593,87,11.670084
-99.572484,109,11.713491
-70.936831,111,11.752857
-102.708767,86,11.782451
-207.708082,95,11.81847
-64.399726,109,11.860501
-104.467463,130,11.892123
-107.984133,74,11.925467
-104.097097,82,12.598438
-130.111779,124,12.67204
-2.490891,173,12.763411
-46.421909,70,12.792547
-126.881537,101,12.82879
-47.184304,86,12.855966
-100.941658,97,12.887778
-44.966905,88,12.919666
-86.765682,103,12.951648
-99.300922,175,13.542722
-112.120672,112,13.622357
-67.245312,143,13.697491
-77.307176,147,13.75683
-67.505157,141,13.803906
-53.011755,116,13.847097
-68.137876,83,13.877653
-65.699208,119,13.919307
-70.893767,84,13.948896
-83.130792,132,14.56263
-243.809797,184,14.674414
-13.613345,131,14.741998
-66.806284,133,14.789248
-84.829187,170,14.849587
-28.663925,91,14.879172
-92.71292,100,14.915035
-168.638658,171,15.540666
-53.065951,204,15.671443
-83.358176,225,15.756241
-21.450953,165,15.81951
-72.418719,127,15.868632
-233.339977,211,15.941879
24.535226,102,16.685472
-60.500521,205,16.822307
-130.376379,236,16.92159
-223.688884,257,17.012165
-44.500462,125,17.056411
-37.438343,255,17.749588
-139.332058,179,17.838667
-116.490868,225,17.934369
-277.463349,178,17.997941
-91.569116,85,18.029829
-65.672903,144,18.094364
-45.765063,144,18.742573
-268.883889,348,18.930167
-64.010346,178,18.993666
-196.231002,145,19.044745
-299.409728,226,19.120582
-235.582265,286,19.854851
-196.054764,225,19.958646
-36.636219,220,20.048868
-181.882454,389,20.744711
-96.75346,237,20.885238
77.95174,1000,22.104342
-215.176571,213,22.227221
-329.990606,451,22.385349
-29.783093,216,23.115541
-484.567876,534,23.373486
-275.274839,393,23.497018
-254.696945,483,24.335732
-99.885438,228,24.439028
-149.576559,264,24.532079
-157.326024,404,25.388822
-45.957832,212,25.462055
-177.733607,346,25.580908
-138.391555,226,26.23051
-184.084615,467,26.450507
-173.67661,207,26.571926
-141.556169,316,27.266686
-112.712016,210,27.436801
-65.289373,344,27.571921
-196.644369,301,27.669099
-283.937851,441,28.536522
-46.941019,296,28.648562
-188.157183,515,29.442844
-200.591688,1000,30.459339
96.900329,1000,31.648325
77.843566,1000,32.810099
-193.212714,394,33.048309
-171.789389,462,33.215569
-193.415911,650,34.109367
-60.159226,1000,35.19273
-55.763172,1000,36.17821
20.710966,1000,37.276978
-93.316663,1000,38.590798
-81.096036,1000,39.657201
-38.120657,1000,40.83123
-69.068636,1000,41.961962
-117.574245,1000,43.115195
-69.330084,1000,44.249412
-23.638328,1000,45.356834
-67.165529,1000,46.571692
-65.156125,1000,48.131426
-144.348908,606,48.43239
-6.44325,1000,49.805768
-150.094866,1000,51.170091
-91.936339,1000,52.417476
-110.255852,1000,53.733016
-73.40624,1000,55.202914
-228.346585,815,56.727666
-151.931691,1000,58.179819
-126.563335,1000,59.416165
-167.482607,718,60.949124
-84.119831,1000,62.226377
-115.028046,1000,63.683813
-92.047464,1000,65.132579
-105.819775,1000,66.534065
-94.5545,1000,67.84393
-128.761569,1000,69.098682
-106.856824,1000,69.638053
-92.950082,307,70.87849
-62.309001,1000,72.415025
-81.557564,1000,73.742988
-97.467794,1000,75.290442
-92.552462,1000,76.685341
-70.61517,1000,78.064662
-35.594185,1000,79.313038
-60.993938,1000,80.761044
-97.47211,1000,82.118389
-95.369476,1000,83.373661
-177.669574,805,83.866653
-144.972039,487,84.977435
-199.393296,717,86.082362
-70.946487,1000,87.483079
-53.798577,1000,88.770488
-34.132148,1000,89.334302
-71.014968,1000,90.852329
-50.686426,1000,92.331691
-34.320758,1000,93.682907
-35.013866,1000,94.973792
-69.751731,1000,96.490302
-109.859857,545,97.674116
-76.978463,1000,99.249863
-34.111149,1000,100.614798
-49.372423,1000,102.215519
-57.386538,1000,103.478828
-107.480089,550,103.724406
-89.468963,345,104.681054
-33.986993,1000,106.073294
-16.144907,1000,107.647366
-178.69743,939,108.890672
-99.35711,1000,110.177277
-136.881448,358,110.439754
-137.628628,706,111.785492
45.126943,929,112.365065
38.560282,1000,113.718197
-30.306135,1000,115.131206
-102.76551,151,115.953435
62.018672,897,116.416177
38.277066,955,118.339503
-41.171226,1000,119.758051
152.595753,845,121.097002
109.781845,745,122.255019
-41.31067,1000,123.680757
165.624094,766,124.787978
50.232141,1000,126.152776
-3.146601,1000,127.880706
-150.70037,708,128.277045
111.339738,808,129.484099
56.486321,1000,130.824387
-71.661171,1000,132.204
124.06163,825,133.760002
47.783951,1000,135.21314
99.818668,788,136.500439
-84.134191,569,136.83634
-66.932171,390,137.674254
-161.583268,519,138.018806
-167.525118,733,139.278831
38.196776,1000,140.677557
-129.128111,634,140.978149
-143.085472,619,142.321623
-140.08973,587,142.607325
91.291255,945,144.158169
71.557923,817,145.822864
-141.878292,684,147.014819
115.189914,894,148.410449
-94.347251,378,148.62373
147.403076,802,149.965699
49.541146,1000,151.549069
40.867116,1000,152.860697
-145.704729,798,154.336258
24.808154,1000,155.671373
-11.595455,1000,157.094728
-185.375546,855,157.555103
1.933773,1000,158.846538
85.634822,843,160.599056
-93.609844,197,160.693756
-151.172689,586,161.840831
-79.65775,1000,163.325162
-57.851459,199,163.414798
-102.53816,528,164.563782
-53.173222,1000,166.12394
137.934758,751,166.503637
30.727334,1000,167.919682
-263.318445,944,169.540766
-67.344125,1000,170.962731
19.351519,1000,172.423092
-96.39281,601,173.51119
-72.524585,1000,175.038982
-165.195321,855,176.440526
-184.81949,935,177.754504
97.891957,931,178.331968
-124.869915,461,179.38124
63.918327,864,180.644143
58.094101,952,182.222915
-99.930451,532,182.485834
44.884642,1000,183.898474
27.193013,1000,185.278446
59.082155,824,186.781147
-133.440569,648,187.871139
-135.795369,647,188.257027
-127.387496,122,188.312799
-103.891395,581,189.361982
-120.125519,663,190.711249
-138.322016,687,191.122615
37.603115,1000,192.671881
109.967348,924,193.944629
-68.251644,698,195.152361
-96.553186,185,195.242824
11.410795,1000,196.636444
85.588373,905,197.913927
4.00635,1000,199.248014
-92.868921,212,199.35706
-52.012266,1000,200.622963
50.967777,1000,202.068344
-100.745441,439,202.296711
-89.983878,142,203.174706
43.740422,962,203.686775
-99.294116,282,204.687282
-165.541493,736,205.089849
-110.129933,556,206.184316
-2.750128,1000,207.699373
-149.36765,609,208.904758
-103.717685,1000,210.196037
-133.603773,660,210.576989
-90.117541,1000,211.923151
-162.435338,692,213.203659
-83.612001,380,213.37208
-101.282989,550,214.499762
-108.312452,690,214.80521
-9.47929,1000,216.011529
13.282571,1000,217.493412
-109.417091,539,218.719683
-99.043319,225,218.808147
-137.501103,187,218.896132
-109.597117,239,220.07494
-22.531341,1000,221.726598
-84.990509,172,221.853908
-33.88253,1000,223.838267
-6.687634,1000,225.211078
-128.730094,195,225.315326
-96.871491,274,225.43013
-92.663207,235,225.53742
40.464066,1000,226.936234
-37.501865,1000,228.318806
-5.640626,1000,229.739956
79.848283,853,231.006893
-94.75355,190,231.086001
68.045144,893,232.391672
-146.166086,663,233.723736
-182.672697,616,234.012351
-96.907113,1000,235.35013
54.859287,789,236.495631
-136.477187,657,237.608056
-117.783635,198,237.711742
-138.317621,206,237.801418
-37.703782,1000,239.173354
0.656751,1000,240.480334
-132.753471,582,241.612742
-104.20425,268,241.792433
45.757186,1000,243.250376
-98.199155,658,244.50846
-119.638121,307,244.709378
103.516618,784,246.017183
-65.808184,1000,247.427844
-51.249925,1000,248.814698
-120.481833,721,249.347831
24.298043,1000,250.765174
128.974919,665,251.962127
39.228598,1000,253.303774
-127.682058,956,254.946142
-133.166609,560,255.193228
35.101549,1000,256.496382
-92.448871,1000,257.882243
-91.256275,220,258.667132
79.419786,730,259.089008
42.145287,889,260.664459
-114.828222,211,260.754761
52.427784,977,262.026978
-89.623248,184,262.090064
50.210599,1000,263.522432
112.967411,625,264.637858
-114.100987,150,264.701411
-76.760275,1000,266.182449
-94.382902,184,266.277309
-93.357269,239,267.159787
-94.137506,191,267.286434
57.646222,1000,268.631146
-125.536751,566,268.904666
110.982708,990,270.366466
97.103962,762,271.576103
-91.353056,180,271.654779
-111.729381,132,271.702654
-97.798084,163,272.642229
-101.371861,156,272.809796
-124.668763,281,272.952149
40.424596,1000,274.232609
-91.475145,213,274.330442
85.921533,1000,275.909958
-65.665347,1000,277.267784
-57.734833,1000,278.84227
71.68155,777,279.993831
-90.577738,126,280.070699
-154.606892,621,281.536921
-87.617004,200,281.734828
131.232162,645,282.055007
-95.209754,196,282.871579
-81.898552,242,283.088352
173.587636,738,284.304866
-103.187763,404,284.59003
221.615516,722,285.726348
-89.321438,459,286.107319
-98.902175,643,287.416646
12.241259,1000,288.712487
-97.960804,161,288.807853
-156.795876,674,289.122687
-95.499939,666,290.421379
-117.109795,397,291.520011
62.37871,900,292.039431
216.824288,562,293.240993
-129.52093,373,293.436667
-80.433747,186,293.531685
72.922047,1000,294.838696
-107.971359,364,295.88385
-99.956776,206,295.991834
-92.629837,199,296.102295
6.870808,1000,297.611887
-88.412036,222,297.723806
193.265281,650,298.864285
-164.054151,743,300.348529
-105.243257,705,300.639101
