#{"t_start": 1785148337.556563, "env_id": "LunarLander-v3"}
r,l,t
-48.884201,73,0.002544
-152.254114,107,0.020058
-145.893373,106,0.023054
-113.026142,113,0.034718
-292.545706,94,0.035707
-282.856277,99,0.035707
-337.779476,112,0.055291
-575.637998,124,0.063291
-93.072204,80,0.068635
-51.908135,72,0.074194
-359.630118,88,0.100652
-191.504793,73,0.144685
-200.486774,162,0.27319
-284.682405,81,0.338507
-327.128473,149,0.478883
-112.869536,106,0.569255
-200.087544,103,0.669627
-335.951486,90,0.762035
-228.784952,135,0.882916
-242.396735,147,1.023502
-283.938974,131,1.149682
-157.45147,123,1.258605
-250.886924,118,1.337303
-150.916444,86,1.416345
-110.273165,79,1.467634
-57.194842,71,1.527338
-40.810683,96,1.574878
-154.708418,112,1.691664
-237.51586,112,1.778499
-160.878412,79,1.8437
-92.819954,158,2.001745
-89.491501,92,2.091099
-249.458102,102,2.157656
-318.98478,105,2.244716
-120.077074,63,2.301901
-74.702716,108,2.395417
-87.916621,129,2.518106
-168.954744,89,2.588853
-56.649041,75,2.662462
-108.733112,102,2.729752
-54.111816,92,2.801579
-151.065624,101,2.875828
-98.388609,122,3.007884
-85.072896,86,3.078975
-291.960488,108,3.190949
-133.452222,129,3.329178
-139.183244,158,3.45553
-163.138547,82,3.534592
-145.781551,139,3.669553
-137.871922,120,3.748636
-103.014718,80,3.819731
-85.542427,126,3.938299
-80.623759,74,4.015728
13.712274,184,4.215039
-9.946755,136,4.371414
-122.003517,138,4.513341
-196.934767,119,4.644078
-147.197191,134,4.787182
-100.381835,117,4.900419
-103.828669,193,5.057138
-101.952039,101,5.139808
-90.735826,74,5.225292
-84.635722,133,5.347626
-73.649531,93,5.450733
-113.305025,112,5.567813
-83.779044,142,5.70521
-94.317911,149,5.86382
-117.489736,136,5.952857
-22.620681,156,6.103657
-65.116759,167,6.265827
-64.264256,62,6.324961
-152.49611,193,6.531937
-17.673796,167,6.660075
-104.386183,102,6.749919
-121.243831,121,6.88957
17.847544,95,6.992547
-44.02643,100,7.082802
-52.895673,105,7.198634
-72.509292,111,7.319752
-20.541783,126,7.461599
-111.378414,281,7.683475
14.090069,1000,8.698261
1.130377,123,8.805243
11.522146,435,9.288484
1.583964,143,9.584249
6.026238,179,9.788275
-7.048764,333,10.178517
26.370138,1000,11.208533
105.66153,1000,12.410203
-37.023094,1000,13.495489
-3.092871,1000,14.4226
-77.370181,1000,15.75075
-31.90452,1000,16.835566
-23.182782,1000,17.947847
-57.351867,1000,19.038548
-81.693634,1000,20.154193
-82.498686,1000,21.462297
-97.025353,1000,22.590819
-55.298377,1000,23.661626
-66.508787,1000,24.894669
-54.881416,1000,26.154564
-27.444612,1000,27.215328
-82.252537,1000,28.405465
-44.449578,1000,29.530118
-29.462982,1000,30.70296
-20.159261,1000,31.999031
-110.86334,1000,33.091949
-92.841082,1000,34.370933
-154.182124,603,35.011074
-66.024251,1000,36.179864
-26.763161,1000,37.506502
-98.918446,1000,38.497199
-74.987551,1000,39.729386
-57.051569,1000,40.74526
-65.4323,1000,42.059939
-54.502074,1000,43.493703
-56.287311,1000,44.603327
-48.085372,1000,45.832438
-105.372719,1000,47.092943
-40.39744,170,47.275189
-68.715967,1000,48.345387
-139.979373,1000,49.618618
-246.074775,699,50.456067
-88.819266,1000,51.672089
-0.093224,182,51.842229
-49.665761,1000,53.17452
-66.704209,1000,54.332323
-81.217399,1000,55.612872
-63.36076,1000,57.008894
-40.268594,1000,58.480226
-75.798544,1000,59.515273
-65.340863,1000,60.822596
-43.465394,1000,61.997245
-46.415822,1000,63.32051
-60.668498,1000,64.570198
-39.647781,1000,65.64596
-55.27002,1000,66.656765
-72.800251,1000,67.707374
-10.588278,1000,68.715092
-45.255642,1000,69.854501
-10.982429,1000,71.265102
-34.445121,1000,72.335416
-2.771767,1000,73.569187
5.676251,1000,74.672288
-29.452311,1000,76.040718
-68.363286,1000,77.192467
4.657753,1000,78.264814
-56.535064,1000,79.572888
-80.711035,1000,80.568555
-40.373975,1000,82.00313
-66.431991,1000,83.126611
-1.915173,1000,84.201556
-106.051645,1000,85.459651
-111.464256,1000,86.726141
10.841256,1000,87.752645
-102.428526,1000,88.964822
12.280172,1000,89.96779
-153.839533,1000,91.057768
-21.611702,1000,92.365655
-11.859734,1000,93.45094
-163.504508,1000,94.554437
-30.165922,1000,95.934601
-72.107607,1000,97.183598
-37.771385,1000,98.415843
0.245993,1000,99.553943
10.16073,1000,100.622
-96.863526,1000,101.802913
-34.549715,1000,103.045279
-47.873118,1000,104.245645
3.100084,1000,105.324911
-37.301403,1000,106.56196
-26.839007,1000,107.624234
23.133706,1000,108.907864
-54.765282,1000,110.052304
-15.115336,1000,111.280624
-27.733221,1000,112.538056
-44.723447,1000,114.306169
