#{"t_start": 1785147846.4547467, "env_id": "LunarLander-v3"}
r,l,t
-204.817903,66,0.015818
-93.102738,63,0.015818
-140.305952,96,0.015818
-278.9979,155,0.038927
-148.639241,90,0.038927
-80.77347,89,0.052717
-110.485219,107,0.052717
30.651567,84,0.069255
-181.546407,81,0.075254
-197.97768,87,0.080254
-284.383614,99,0.101122
-113.471094,57,0.132674
-399.24008,100,0.199521
-63.860637,71,0.243675
-80.925727,65,0.310509
-41.039146,69,0.358222
-119.394333,134,0.483961
-351.600634,104,0.554967
-138.176408,72,0.617649
-118.919993,92,0.715791
-135.622115,99,0.800269
-98.558386,81,0.879419
-151.953841,103,0.968562
-422.784461,107,1.053
-125.084814,113,1.163237
-78.825338,94,1.235913
-98.084471,84,1.304815
-241.221216,94,1.403891
-231.612927,103,1.476241
-174.114561,67,1.516798
-175.549591,77,1.589948
-93.374246,73,1.654315
-102.888696,69,1.733243
-373.442074,73,1.798675
-192.405681,140,1.922139
-90.163524,91,2.007318
-57.079595,75,2.064523
-136.137899,102,2.160054
-197.819846,104,2.252845
-161.292764,114,2.355101
-206.128662,169,2.52881
-121.561362,97,2.570764
-78.988853,83,2.659079
-232.309775,132,2.764148
-138.495588,118,2.870837
-77.239386,92,2.973238
-190.220105,127,3.107347
-155.744294,131,3.201187
-71.324525,81,3.288642
-298.862318,112,3.402912
-86.081116,92,3.497455
-83.358345,147,3.618735
-68.618754,143,3.764156
-118.595819,91,3.844644
-66.867031,107,3.953136
-190.876598,137,4.0717
-58.000899,106,4.191359
-17.576764,145,4.309743
-104.663374,116,4.409108
-98.290024,92,4.479227
-178.141171,198,4.641673
-100.010098,73,4.688731
-139.219168,97,4.777649
-75.529619,119,4.886244
-215.855166,147,5.016381
-84.985556,117,5.115417
-212.748238,140,5.279787
-14.976606,131,5.394242
-119.604157,173,5.572922
-106.409857,112,5.681702
-126.596461,127,5.812201
39.575485,1000,6.829055
-61.274585,136,6.958947
-51.715868,176,7.129009
-190.23949,111,7.213348
-94.01005,252,7.466935
-29.549779,160,7.601493
85.333757,1000,8.701389
-33.798833,93,8.810179
67.862883,1000,9.801497
-10.117153,173,10.057364
-5.011471,167,10.30315
-130.904913,104,10.480925
-30.574232,99,10.68103
76.991319,1000,11.673641
21.128479,1000,12.799778
-141.279479,1000,13.866997
118.784974,917,14.873358
72.009978,1000,16.18318
-117.769635,1000,17.261053
-137.044764,1000,18.318007
-166.732269,1000,19.506224
-125.339898,1000,20.584092
-44.588309,1000,21.848274
-85.643855,1000,22.851415
-54.767397,1000,23.892241
-89.718782,1000,24.993793
-103.268933,1000,26.284739
-54.052256,1000,27.589661
-105.620438,1000,28.797874
-107.817001,1000,29.899692
-125.019475,1000,30.938992
-88.270829,1000,32.318541
-96.79824,1000,33.330401
-66.100337,1000,34.496659
-11.451588,1000,35.659763
-82.270839,1000,36.709756
-121.150327,1000,38.012901
-61.818801,1000,39.179474
-93.540403,1000,40.175467
-73.954324,1000,41.477475
-64.677787,1000,42.726519
-89.330605,1000,43.947446
-48.819972,1000,45.079964
-70.291966,1000,46.16121
-77.087978,1000,47.416898
-55.25487,1000,48.717634
-91.944765,1000,50.184384
-99.224186,1000,51.324872
-12.732947,1000,52.435359
-106.562865,1000,53.852878
-51.566377,1000,54.995322
-95.130586,1000,56.159738
-71.605056,1000,57.301034
-108.002102,1000,58.354378
-101.002007,1000,59.800161
-99.170056,1000,60.907624
-103.75385,1000,62.026421
-65.546646,1000,63.116319
-109.60342,1000,64.502863
-103.698086,1000,65.80994
-63.270187,1000,66.856186
-10.356556,1000,68.006796
-107.352816,1000,69.403938
-20.981873,1000,70.542814
-53.090072,1000,71.668599
-67.092994,1000,72.836215
-37.576661,1000,73.88832
-9.256715,1000,75.238951
-64.540106,1000,76.654628
-87.822246,1000,77.719711
14.128806,1000,79.011881
-102.510278,1000,80.309297
-70.194381,1000,81.65173
-110.744706,1000,82.76638
-87.877724,1000,83.921715
-57.805951,1000,85.171763
-26.509302,1000,86.488555
-92.554369,1000,87.70808
-118.391306,377,88.100251
-85.213149,1000,89.185118
-42.017298,1000,90.32146
2.816723,1000,91.78105
-104.94595,1000,92.811431
-13.761684,1000,94.160673
-15.019611,1000,95.313709
-32.858663,1000,96.708185
-28.609539,1000,97.964963
-100.998598,1000,98.991341
-78.993089,1000,100.257088
-124.92491,1000,101.519503
-101.32481,1000,102.763139
-4.386543,1000,103.957866
-209.121077,418,104.346496
-95.641413,1000,105.651663
-105.4981,1000,106.911539
-65.747456,1000,108.032659
-83.647665,1000,109.268274
-73.908052,1000,110.543705
-19.580416,1000,111.954548
-74.834377,1000,113.188714
-33.651511,1000,114.302825
-42.665966,1000,115.580608
