#{"t_start": 1785147599.4495666, "env_id": "LunarLander-v3"}
r,l,t
-353.885587,101,0.002034
-292.402514,79,0.023175
-94.087166,65,0.024077
-139.905218,102,0.03556
-336.46016,103,0.044212
-394.203718,72,0.049211
-179.215112,94,0.05672
-172.784374,100,0.063705
-272.944028,109,0.071705
-167.351186,68,0.07625
-112.468557,114,0.087237
-85.446738,68,0.105076
-93.473215,84,0.162517
-272.465645,87,0.239459
-144.915793,68,0.287229
-127.648785,127,0.379006
-190.027064,107,0.471844
-396.03809,113,0.596681
-302.382733,115,0.717952
-250.765175,103,0.812433
-101.393623,93,0.871917
-300.029391,142,0.98461
-125.097767,84,1.070254
-207.423418,124,1.175156
-133.517366,132,1.268277
-34.064441,95,1.33182
-83.966555,92,1.40683
-325.563988,93,1.492112
-197.328678,82,1.5393
-141.528918,112,1.662461
59.449853,85,1.733447
-168.752824,73,1.798905
-169.24459,117,1.887723
-184.556721,111,2.002934
-266.993869,100,2.077816
-333.754011,139,2.188519
-59.185695,86,2.283637
-99.129398,82,2.346761
-107.346155,86,2.427777
-105.346587,96,2.489145
-79.006257,81,2.568442
-212.621128,100,2.657394
-164.427532,122,2.781898
-88.613441,102,2.871011
-101.753115,105,2.971793
-61.338047,99,3.051003
-270.448108,115,3.161248
-100.09512,154,3.280005
-110.073774,79,3.331303
-100.088123,94,3.421907
-96.16131,153,3.55155
-271.61853,144,3.693518
-94.873099,164,3.819292
-111.489521,72,3.883129
-113.52577,123,3.968763
-26.727553,122,4.089251
-86.423614,167,4.214191
-122.433103,72,4.296734
-125.412489,66,4.363944
-74.796805,132,4.468787
-174.525549,93,4.561293
-139.828195,103,4.648291
-76.793062,100,4.762478
-81.954317,92,4.857484
-129.973421,87,4.947006
-92.653102,124,5.060498
-121.106236,155,5.208246
-40.819985,150,5.350966
-126.239358,75,5.43548
63.958618,1000,6.415752
-21.778045,181,6.616185
-104.887624,200,7.001506
-33.50801,247,7.309959
-77.818913,127,7.473844
-35.234037,184,7.647003
-30.316881,168,7.837166
-78.346335,205,8.00738
-33.916104,203,8.217467
88.646987,1000,9.258893
34.551542,1000,10.523645
-63.240993,429,10.96562
36.333526,1000,11.960339
-5.846723,103,12.069085
-98.226931,1000,13.4383
31.439999,215,13.650694
-128.218047,1000,14.740051
-23.546772,1000,15.810005
-56.526214,1000,16.908228
-52.123754,1000,18.198332
-124.027089,1000,19.500648
-137.196976,1000,20.541487
-75.551755,1000,21.707429
-115.577558,1000,22.757318
-40.620597,1000,23.935862
-58.018787,1000,25.133575
-36.910457,1000,26.310837
-73.416031,1000,27.730899
6.781699,1000,29.194395
-32.827288,1000,30.457989
-67.11684,1000,31.52923
88.815603,954,32.656336
-16.680033,1000,33.956508
160.757373,846,34.877996
-177.586473,580,35.537711
-89.32473,497,36.100913
-178.787119,595,36.803212
-100.656107,1000,38.099358
-148.198038,580,38.681498
-89.210035,1000,39.960478
-95.87368,1000,41.199197
-178.758011,773,42.007042
-87.190455,395,42.460383
-62.026006,1000,43.745341
-36.828691,1000,45.066645
-34.282988,1000,46.343554
-54.825885,1000,47.520365
-71.169678,1000,48.636561
-71.983955,1000,50.071784
-69.280763,1000,51.177878
3.128243,1000,52.397842
-56.432187,1000,53.725021
-118.227738,1000,54.85763
-31.354415,1000,56.416944
-81.397722,1000,57.588211
-74.613585,1000,58.774944
-111.852415,1000,59.908613
-215.995003,874,61.029227
-95.288729,1000,62.524384
-67.371524,1000,63.939236
-91.015654,1000,65.409809
-68.60891,1000,66.678066
-59.024078,1000,67.843198
147.550693,653,68.544115
-76.594788,1000,69.680911
-53.877479,269,69.97997
-60.041759,1000,71.411408
118.788,784,72.285565
-62.724594,1000,73.442161
-52.804283,1000,74.815435
-58.413323,1000,76.119064
-63.729155,1000,77.654144
-91.493011,1000,78.679897
-78.228459,1000,79.794838
-63.464524,1000,80.922115
-72.903076,1000,82.127076
-49.041719,207,82.396935
-90.049046,1000,83.61529
-60.848029,1000,84.756929
210.09273,305,85.069866
-33.79223,1000,86.309832
-41.562111,1000,87.513461
-40.06703,1000,88.549376
-64.459415,1000,89.73259
-62.486704,1000,90.896551
-24.814797,1000,92.052517
-36.216143,1000,93.424159
-72.936932,1000,94.589429
-74.577668,1000,95.837792
-68.932305,1000,96.973753
-31.857705,1000,98.451382
-4.543785,1000,99.644126
-30.155427,1000,100.671321
-53.314038,1000,102.0082
-63.649905,1000,103.001871
-20.121061,1000,104.499485
-46.139102,1000,105.659119
-28.545395,1000,106.73288
-41.916807,1000,108.034019
-14.791283,1000,109.285673
-48.087266,1000,110.454346
-51.974904,1000,111.503864
-54.020509,1000,112.639198
-32.321785,1000,114.204728
-54.560076,1000,115.328895
-109.929294,1000,116.64668
-45.39757,1000,117.81163
