#{"t_start": 1787079845.9292634, "env_id": "LunarLander-v3"}
r,l,t
-93.558293,98,0.016306
-85.585314,83,0.0336
-117.016529,98,0.064676
-439.714538,116,0.089217
-132.572697,74,0.097703
-152.827042,128,0.117655
-67.711172,66,0.13054
-448.314785,92,0.152207
-139.960761,95,0.163654
-158.935918,112,0.186343
-100.587115,65,0.23273
-256.410205,106,0.411678
-123.873982,107,0.520418
-289.569899,104,0.668025
-147.262433,74,0.794198
-233.870675,109,0.970197
-149.377247,109,1.144701
-121.990634,72,1.264433
-165.087809,104,1.419205
-109.841621,83,1.567747
-121.718072,75,1.689981
-299.061624,107,1.874764
-385.244895,152,2.124156
-135.677382,93,2.274198
-409.815535,85,2.416554
-33.224813,91,2.561954
-328.909636,77,2.684477
-307.782694,115,2.808636
-157.834187,150,2.955498
-213.110031,107,3.064402
-56.821198,70,3.137914
-445.311922,88,3.226446
-226.185636,96,3.357857
-61.835132,78,3.458889
-104.46361,100,3.557924
-90.463812,80,3.63718
-141.925031,111,3.823787
-167.560263,67,3.93506
-207.203193,144,4.175726
-164.237468,109,4.361089
-116.738933,121,4.558595
-107.140375,92,4.663259
-19.953759,115,4.785278
-237.691626,170,4.948248
-73.217298,92,5.03934
-311.18672,123,5.164547
-287.269587,146,5.37516
-124.804242,101,5.548688
-167.448412,128,5.766004
-140.397956,120,5.973338
-75.807438,118,6.164163
-184.338829,116,6.381667
-45.607548,80,6.522048
-205.422984,135,6.765281
-117.83217,77,6.901623
-170.881219,119,7.112979
-316.265256,122,7.332868
-11.125965,96,7.49322
-177.056145,116,7.704098
-32.465872,158,7.983268
-88.312151,77,8.117315
-82.349932,107,8.308474
-54.264544,114,8.509828
-98.528321,94,8.65061
-214.119944,116,8.867815
-176.425061,97,9.061136
-97.4271,109,9.26129
-107.685958,66,9.376905
-190.952368,145,9.632324
-157.856916,112,9.834566
-139.652041,150,10.055258
-76.130149,118,10.197752
-28.607681,180,10.523357
-78.939053,106,10.719639
-134.573923,124,10.947825
-70.5425,163,11.243042
-221.592381,131,11.431837
-156.772788,142,11.574398
-30.21849,97,11.689082
-134.382456,115,11.874694
-83.611716,133,12.104303
-91.837104,140,12.354502
-224.259951,157,12.635741
-98.457734,68,12.762303
-202.651936,105,12.957619
-169.049947,120,13.179521
-138.446148,127,13.408904
-99.770243,131,13.64623
-229.027839,102,13.822036
-99.08288,126,14.05363
-86.545001,120,14.265353
-196.585541,97,14.441819
-175.010312,140,14.696954
-115.684697,129,14.934033
-159.63389,89,15.088028
-80.391278,138,15.356941
-67.225645,157,15.603824
-31.148496,151,15.836577
-2.723462,82,15.967156
-120.47444,83,16.059382
-98.701347,111,16.245502
-115.291468,91,16.412109
-137.727662,136,16.666165
-121.650111,120,16.874893
-29.150165,209,17.26976
-88.915942,126,17.491357
-155.050767,144,17.77115
-51.446231,118,17.984881
-61.140479,127,18.184614
-105.556852,156,18.410599
-57.573703,155,18.695358
-80.176583,147,18.957299
-46.577168,127,19.194715
-10.714983,100,19.374886
-31.641478,188,19.721794
-87.024735,192,20.071038
-14.206295,241,20.533592
-19.685825,93,20.705718
-88.091837,112,20.918265
-50.792429,190,21.273478
-0.380392,190,21.585523
-87.785048,123,21.76788
-16.01143,158,22.06096
-59.84304,303,22.639591
-17.921175,127,22.871993
-3.93455,185,23.201952
-90.24006,101,23.399972
-46.184785,139,23.688252
15.167971,226,24.127875
-63.424994,391,24.912661
-20.357235,154,25.26417
-39.944247,159,25.528675
5.836105,174,25.755502
-84.044555,265,26.287744
-16.453303,305,26.804495
-111.6342,309,27.218438
-29.937331,98,27.33151
-35.628346,1000,29.435769
13.898552,274,29.989176
-125.085602,940,31.817732
0.483503,139,32.083542
-19.38933,1000,34.083112
-39.069897,1000,36.108582
-15.687744,1000,38.162477
-62.966308,1000,40.194493
-90.924297,1000,41.781949
-62.348247,1000,43.333947
-67.330164,1000,44.947726
-73.733366,1000,46.825105
-73.322772,1000,48.68395
-5.976584,661,50.098058
-108.703914,1000,52.246632
-42.981971,1000,54.337891
-123.252009,1000,56.422163
-119.840097,1000,58.383658
-87.386232,1000,60.433347
-57.298717,1000,62.167313
-66.894531,1000,63.722678
-31.275522,505,64.626331
-51.914853,756,66.259213
-33.089819,242,66.771355
-64.257079,233,67.265544
-94.387701,1000,69.248707
-2.824223,223,69.6756
141.253726,793,71.340614
100.326535,998,73.438688
209.978663,391,74.325815
140.317523,766,75.662487
166.443983,772,77.355879
219.235386,451,78.349993
155.781551,792,80.082647
23.612608,196,80.517157
-8.218509,191,80.92222
-35.685168,227,81.408942
230.445532,316,81.905542
224.802084,595,83.113882
-8.777931,258,83.663998
248.075781,462,84.637311
212.269488,437,85.579568
-35.152934,235,86.085248
-40.996701,291,86.622834
251.896998,592,87.911901
-42.151441,245,88.429054
-42.232632,263,88.998786
262.417186,280,89.617412
204.05742,407,90.434305
234.818388,402,91.306422
-74.965722,248,91.687846
-59.939007,259,92.190627
-26.12978,233,92.711957
244.66731,362,93.503115
15.536745,247,94.032215
-30.761823,231,94.518229
-23.947962,250,95.02112
213.564548,595,96.159959
222.942645,448,97.126425
245.297241,373,97.837598
-0.837071,218,98.310904
-10.811037,261,98.880225
135.29289,1000,101.101165
-29.688126,217,101.567541
-29.877209,201,101.997217
205.954497,475,103.018961
-45.706066,243,103.538747
-12.119605,202,103.970729
236.615291,474,105.00693
-5.739531,246,105.535176
-31.181622,232,106.027842
228.178785,448,106.891682
-14.333725,249,107.345969
197.835793,617,108.686677
225.509574,336,109.41103
233.327026,374,110.217016
223.180435,395,111.091044
264.595532,367,111.879344
243.25635,352,112.632569
208.885191,730,113.828265
250.684397,366,114.460498
230.42301,333,115.097909
-2.501863,211,115.379592
-11.349675,221,115.854905
252.635181,350,116.613209
-3.430497,197,117.039887
275.759191,369,117.829748
223.02091,333,118.497486
-13.171486,213,118.953588
-18.90026,262,119.477618
-71.560393,205,119.778826
233.658273,357,120.555954
267.236157,314,121.142324
195.092256,567,122.33017
-32.264155,1000,124.39727
251.190319,490,125.460046
253.307706,361,126.24692
203.46134,845,127.489216
-56.335867,1000,129.088459
-11.401986,227,129.568752
248.134088,412,130.456211
235.059729,344,131.204647
-36.586229,1000,132.826429
-19.253062,215,133.301547
-51.021602,1000,135.263239
-57.505883,1000,137.250029
-18.890632,1000,139.399143
-31.579232,1000,141.557593
-46.516989,1000,143.647697
-51.870105,1000,145.505216
156.424847,877,147.388687
-23.424722,1000,149.531799
-32.813379,1000,151.337416
-25.666754,1000,153.456091
-2.22567,1000,155.606211
