#{"t_start": 1787081900.341978, "env_id": "LunarLander-v3"}
r,l,t
-8.752207,71,0.018981
-424.651542,88,0.027004
-136.330469,62,0.033393
-350.156575,128,0.039208
-340.52922,76,0.047745
-240.128393,106,0.055907
-89.041539,59,0.069957
-117.001552,88,0.072278
-122.489986,85,0.089308
-100.829631,112,0.097331
-381.409802,74,0.100445
-480.136631,93,0.153575
-366.47189,86,0.233077
-332.273554,105,0.339911
-134.109825,115,0.444201
-319.88739,99,0.527268
-75.57121,149,0.643578
-239.196244,120,0.738952
-360.194707,92,0.82148
-421.972595,79,0.880748
-313.210344,122,1.003433
-231.759463,86,1.092004
-164.617843,68,1.157846
-180.504403,114,1.244278
-216.28832,177,1.3943
-227.896565,101,1.483896
-137.56274,110,1.595732
-65.922418,68,1.672916
-88.827519,69,1.714238
-128.351293,96,1.771861
-116.045529,84,1.823557
-135.42259,90,1.886629
-228.381349,62,1.951698
-169.033837,123,2.040576
-167.062996,87,2.125092
-46.081641,61,2.170971
-100.740531,110,2.245731
-280.527802,88,2.336596
-71.843888,80,2.412876
-133.358411,105,2.484055
-471.36304,98,2.574762
-101.081604,110,2.654467
-52.914463,95,2.739762
-49.839842,135,2.867723
-89.060207,83,2.958142
-190.51588,126,3.052463
-127.157757,109,3.163279
-390.261884,141,3.307149
-131.341213,115,3.437785
-150.726563,116,3.528656
-251.682895,81,3.575878
-376.01947,158,3.730661
-44.246791,125,3.809501
-123.93017,118,3.923285
-105.229458,110,4.031941
-245.425585,87,4.113246
-248.250507,91,4.171326
-117.739934,128,4.274662
-57.788147,80,4.374601
-70.277744,85,4.461004
-153.582815,100,4.56857
-238.94796,90,4.63916
-77.24738,104,4.816036
-255.532814,103,4.927753
-165.507159,129,5.085321
-183.578767,125,5.284073
-83.482557,81,5.398565
-136.318994,90,5.500448
-142.202315,106,5.636846
-157.181468,129,5.792995
-240.07517,90,5.937201
-92.027396,97,6.072198
-94.636209,76,6.133155
-187.942696,107,6.322731
-92.584704,143,6.540683
-188.632477,68,6.635964
-105.856373,115,6.809192
-127.811951,89,6.943957
-57.293054,139,7.177251
-148.735841,91,7.250312
-114.537028,114,7.436933
-106.93505,140,7.647534
-27.321659,138,7.790972
-118.198662,116,7.919267
-115.602474,145,8.052513
-127.456108,109,8.168783
-197.444585,114,8.278369
-248.997221,130,8.462848
-74.484504,103,8.560076
-136.16956,102,8.64536
-89.893217,126,8.773286
-152.072349,68,8.820714
-61.733378,217,9.00626
-104.118178,117,9.121561
-123.302457,117,9.234353
-123.450918,149,9.333256
-54.385799,105,9.455893
-108.740912,108,9.561899
-9.146842,93,9.656441
-180.542194,116,9.756837
-7.869034,153,9.932333
-149.681387,145,10.090255
-102.778506,227,10.31794
-53.202954,148,10.43587
-276.014345,129,10.57791
-88.069566,121,10.716142
-75.189866,135,10.840441
-22.715146,169,11.015484
-180.476921,135,11.158924
-89.953905,167,11.315448
-55.164853,142,11.463707
-243.226118,146,11.604438
-120.274624,282,11.941415
-23.424669,160,12.213377
-52.195314,130,12.347848
-6.826444,124,12.559411
-165.916407,135,12.79135
-118.870226,136,13.00487
-74.771514,140,13.212393
-79.079717,198,13.480762
-116.800794,187,13.753776
-81.878895,121,13.949795
-73.078034,117,14.168945
9.034422,1000,15.387611
-171.137675,135,15.593519
-44.159,269,15.836153
28.105817,1000,16.909911
-52.6842,117,17.022108
-81.149525,112,17.157396
-22.086763,290,17.518686
-33.950655,137,17.687356
-43.041503,269,17.976466
-63.417169,210,18.299488
20.796469,1000,19.966542
-106.568261,665,21.025126
4.335063,1000,22.075201
11.163559,230,22.322047
-14.33352,1000,23.431337
-48.622587,1000,24.648251
-120.512804,1000,26.382635
-119.84622,1000,28.044726
-116.652174,1000,29.104036
-59.390524,1000,30.201628
-107.845224,1000,31.783211
-91.188823,1000,33.406117
-96.719171,1000,34.652817
-127.118022,831,35.663153
-75.158511,1000,36.843814
-35.378264,1000,38.098228
-125.447428,1000,39.75451
-139.199202,521,40.594222
-105.467404,1000,41.991884
-197.957477,849,42.970074
-94.718434,1000,44.228345
-71.933773,1000,45.879113
163.955457,769,47.203282
183.31893,539,47.748931
-75.947604,333,48.118152
19.612849,1000,49.313569
-24.857903,1000,50.755629
-138.37652,865,52.417581
-103.398224,712,53.471045
-36.910636,368,53.887842
70.743756,857,55.01499
-82.208791,364,55.449894
107.783647,699,56.237886
137.123421,543,56.937547
213.804073,667,58.24993
-38.992812,281,58.760686
-57.236131,373,59.303839
-44.447628,309,59.854537
-33.044941,329,60.278882
205.793704,523,60.94564
-86.08292,332,61.338686
155.907659,641,62.114629
157.087454,785,63.689079
-105.715467,474,64.711719
-80.116243,333,65.346147
-50.535963,299,66.024236
-82.605344,172,66.407354
203.21385,517,67.495311
-5.004228,202,67.748356
-42.763351,307,68.434506
-46.127041,282,69.039516
156.627096,727,70.663485
152.128256,529,71.73855
184.544151,538,72.938611
-74.778536,295,73.630801
200.443434,462,74.576027
-30.348907,183,74.903546
169.461181,535,76.033721
-29.061607,187,76.450135
222.546248,364,77.177911
-23.483471,190,77.589607
148.23871,519,78.693394
116.062855,414,79.629133
150.037994,538,80.761276
-10.662961,283,81.386888
238.446429,336,82.068964
195.357385,777,83.840112
220.882277,364,84.621468
146.884189,467,85.398411
182.814228,710,86.743242
-87.385421,133,87.034683
-48.80404,186,87.43932
-110.458183,141,87.749272
174.228985,470,88.846306
173.986377,427,89.759586
-117.266709,122,90.019752
159.793893,338,90.744773
8.224117,195,91.045322
196.81899,290,91.567208
288.958843,314,92.161514
-74.848706,191,92.564242
-69.956375,266,93.002182
159.045822,438,93.661014
-30.340023,234,94.223087
188.47586,556,95.489758
-107.23886,142,95.806777
-64.636771,305,96.482841
-34.518404,274,97.022813
199.784065,416,97.972938
