#{"t_start": 1787078860.8239002, "env_id": "LunarLander-v3"}
r,l,t
-94.096009,98,0.009843
-86.962257,83,0.033656
-117.714483,98,0.051091
-432.957196,116,0.075629
-133.334044,74,0.093349
-153.552912,128,0.109814
-68.814424,66,0.117857
-441.975955,92,0.12558
-140.338132,95,0.142062
-160.012095,112,0.156334
-99.955225,65,0.196909
-254.926069,106,0.379113
-125.435807,107,0.546663
-287.712718,104,0.718303
-147.129632,74,0.84704
-232.998719,109,1.008109
-150.551057,109,1.188755
-123.036971,72,1.310356
-165.731024,104,1.482527
-110.303279,83,1.625071
-121.964601,75,1.748345
-297.034148,107,1.876339
-379.152011,152,2.027327
-136.585113,93,2.118154
-406.254176,85,2.239579
-33.473431,91,2.394303
-325.870832,77,2.508676
-303.277998,115,2.682065
-159.591891,150,2.944242
-213.133402,107,3.120643
-57.901308,70,3.237438
-439.666367,88,3.407619
-224.977056,96,3.573476
-60.908034,78,3.706263
-103.96913,100,3.870497
-91.436488,80,4.009958
-142.330746,111,4.206526
-167.634938,67,4.326769
-113.166253,147,4.586231
-251.765342,119,4.817356
-123.678815,61,4.924672
-147.550286,85,5.090062
-275.244165,112,5.292933
-498.488984,132,5.552394
-140.841566,107,5.759066
-88.966754,85,5.923975
-215.427569,103,6.097871
-252.084567,91,6.255618
-85.090011,98,6.428499
-82.874868,117,6.636675
-210.019282,95,6.802075
-129.13405,159,7.010575
-51.345164,98,7.186755
-231.612363,118,7.395979
-20.150667,133,7.636212
-58.24076,123,7.848983
-52.596715,133,8.0913
-67.65699,116,8.296902
-53.881398,110,8.472935
-247.565277,129,8.700289
-95.330473,77,8.845338
-165.091095,118,9.056394
-15.108915,80,9.197848
-143.843834,112,9.398371
-376.309351,155,9.671655
-236.697043,108,9.860999
-84.210666,110,10.053074
-161.057238,130,10.2857
-125.650231,136,10.42683
-77.646127,125,10.557554
-86.365296,82,10.645024
-166.4628,121,10.832237
-175.137359,68,10.958475
-98.512038,72,11.077748
-93.163009,165,11.378507
-135.424396,97,11.554791
-39.749293,154,11.83953
-134.481627,135,12.080231
-142.99061,122,12.293623
-125.254135,77,12.408349
-112.700222,106,12.594844
-265.20619,125,12.778373
-141.240084,138,12.922827
-42.789223,71,12.995498
-202.498785,141,13.144732
-179.312801,131,13.30213
-39.700936,149,13.578715
-88.448494,161,13.774987
-83.066475,122,13.929345
-44.294196,143,14.196267
-222.095615,148,14.480711
-99.20916,111,14.616965
-93.766916,100,14.724499
-80.870713,145,14.878676
-83.194439,111,15.076028
-332.64273,142,15.336617
-178.617348,112,15.549044
-62.763549,83,15.705474
-121.036816,111,15.916417
-82.241753,157,16.201178
-74.202485,121,16.392198
-43.490814,77,16.546142
-73.085643,141,16.772329
20.846215,197,17.141879
-128.326804,111,17.35282
-81.39545,128,17.595455
-125.826684,103,17.786168
-220.755419,141,18.100783
-11.292309,178,18.433449
-84.677969,203,18.677311
-86.496049,78,18.766359
-126.710182,78,18.847477
-101.978023,127,18.990305
-138.327298,115,19.108121
-39.826605,214,19.392713
-39.222968,154,19.687627
-51.735817,196,20.069622
-167.947187,160,20.282059
-91.310126,68,20.355129
-28.082708,139,20.503471
-131.672945,254,20.94837
-37.778229,176,21.269065
-32.876362,135,21.54934
18.30524,154,21.831858
-26.424951,134,22.095383
-68.164676,271,22.60692
-64.741337,116,22.73552
-51.643675,268,23.042659
-9.436092,118,23.27799
-94.949235,261,23.782989
-35.06526,305,24.349471
-4.951239,174,24.565202
-53.686462,218,25.016632
-15.894004,155,25.324102
-78.646758,258,25.805467
-5.753771,358,26.411994
-230.947186,236,26.882839
-68.992802,213,27.167059
-162.958148,676,28.472168
-61.100716,363,29.196401
-138.432152,1000,31.086242
-19.11282,111,31.309914
-8.501474,125,31.486871
-125.204132,1000,33.386624
-82.716752,1000,35.353631
6.306533,358,36.0338
-82.157596,1000,37.802107
-138.899328,1000,39.455084
-90.364156,1000,41.552196
-117.88991,1000,43.621129
-134.678579,1000,45.708267
-95.568301,1000,47.822911
-92.715736,1000,50.694687
-142.944583,1000,52.657206
-117.555146,593,53.7539
-60.987153,642,55.005462
-83.861988,1000,56.817765
-143.08758,675,57.887622
5.013928,1000,59.780523
-83.602964,1000,61.853914
-69.913872,1000,64.000713
-104.107087,1000,66.046529
-91.900526,1000,68.182413
-30.049596,1000,70.096527
-20.132945,1000,72.195172
8.64879,1000,74.339949
-1.603287,1000,76.25163
-73.036765,1000,78.298485
-38.835688,412,79.174933
-3.56979,1000,81.370528
-38.732169,1000,83.339609
-128.497638,532,84.37178
-32.533989,1000,86.21856
-8.973212,1000,87.983055
-56.589863,1000,89.925804
2.062819,1000,92.0809
-22.521567,1000,94.071663
1.184621,1000,95.971563
-24.088314,1000,98.131252
-23.185001,1000,100.288048
-51.572925,1000,101.975823
-18.188569,1000,103.667716
-66.814728,1000,105.679409
-54.053144,1000,107.79245
-52.6608,1000,109.858049
-34.33347,1000,111.990858
-62.156033,1000,113.954488
-20.053787,1000,115.884773
-32.274663,1000,117.904843
-37.761017,1000,120.04557
-68.770734,1000,122.095923
-37.187729,1000,124.229858
-11.234041,1000,126.424464
-23.469282,1000,128.123285
-71.963351,1000,130.128582
-35.465649,1000,132.253294
-32.194249,1000,134.397861
-45.133505,1000,136.33532
-9.785226,1000,138.345486
-45.355447,1000,140.487956
-77.660912,1000,142.536446
-28.282324,1000,144.47647
-34.035942,1000,146.551742
-57.728807,1000,148.330398
-30.257394,1000,150.450521
-64.405705,1000,152.603575
-26.089107,1000,154.619098
-72.372531,1000,156.526912
-68.71522,1000,158.712638
-31.639483,1000,160.497999
-63.849283,1000,162.345002
-47.887057,1000,164.430033
-49.472658,1000,166.298699
-172.742783,448,167.157649
-73.040031,1000,169.262687
-31.260204,1000,170.972172
-69.577277,1000,172.961146
-20.827108,1000,175.08327
-38.785308,1000,177.198629
-42.574902,1000,179.350425
-75.18036,1000,181.208621
-22.925963,1000,183.243306
-69.043369,1000,185.289295
-30.586385,1000,187.357975
-39.957683,1000,189.35127
-78.758729,1000,191.035442
-33.21905,1000,193.136578
-44.011761,1000,195.294693
-82.474536,1000,197.368339
-27.304684,1000,199.51483
-90.30047,1000,201.655659
-89.915855,1000,203.645979
-62.185862,1000,205.692964
-72.570646,1000,207.905111
-76.65953,1000,210.190664
-25.07743,1000,212.34679
-51.557115,1000,214.250072
-10.532782,1000,216.267297
-20.011608,1000,218.093944
-40.998691,1000,219.843006
-72.156016,1000,221.849832
-59.080395,1000,223.830171
-73.713128,1000,225.687029
-8.05343,1000,227.127673
-27.984268,1000,228.842051
-75.956373,1000,230.706621
-45.822148,1000,232.887878
-23.886125,1000,234.946659
-53.415101,1000,236.621626
-30.139494,1000,238.827686
-78.029135,1000,241.018808
-17.816246,1000,243.270742
-38.77961,1000,245.319765
-64.618905,1000,247.087749
-29.955487,329,247.705009
-82.891671,1000,249.84824
-70.597638,1000,251.768916
-264.520278,652,252.612822
-87.72814,192,252.938862
-223.392732,415,253.664639
-82.610994,1000,255.551601
-63.660207,1000,257.576615
-108.342887,155,257.880486
-82.806136,1000,259.958929
-75.694079,1000,261.754492
-180.716054,1000,263.566853
-62.81576,1000,265.580344
-94.269075,1000,267.661212
-60.245124,1000,269.670308
-87.126902,167,269.979884
-63.935275,1000,271.630209
-41.363189,1000,273.696862
-124.237081,142,273.95052
-129.914844,116,274.203601
-41.328847,1000,276.053341
-102.153484,146,276.227489
-50.32647,1000,277.981106
-90.572647,212,278.39301
-29.124404,1000,280.542239
-107.221244,208,280.952909
-35.948892,1000,282.475346
-121.192329,127,282.767457
-33.210409,1000,284.889388
-115.538055,662,286.090387
-77.826233,348,286.693104
-101.220283,269,287.270143
-37.551014,1000,289.030282
-116.795605,198,289.491694
