#{"t_start": 1787077582.1274345, "env_id": "LunarLander-v3"}
r,l,t
-3.442304,71,0.103376
-414.987905,88,0.113395
-130.885831,62,0.117781
-338.353129,128,0.134323
-331.297186,76,0.141026
-231.403016,106,0.155383
-84.651386,59,0.156753
-111.212243,88,0.16623
-116.280852,85,0.182338
-94.711162,112,0.190124
-372.069476,74,0.213923
-470.325361,93,0.260999
-357.196486,86,0.347012
-321.966524,105,0.462555
-127.669478,115,0.581612
-311.279106,99,0.686359
-69.022787,149,0.818725
-230.482417,120,0.905791
-347.304002,94,0.984149
-309.262065,78,1.055728
-134.649264,76,1.139829
-323.440163,93,1.239033
-94.293653,87,1.305382
-77.387872,118,1.438659
-42.380673,79,1.518043
-72.186993,91,1.614432
-72.562355,130,1.720555
-9.919062,85,1.819401
-68.862863,73,1.890497
-280.058891,98,1.974908
-103.831771,80,2.053775
-119.004141,141,2.185114
-112.845549,89,2.273504
-281.78864,108,2.43062
-80.316069,102,2.520705
-78.442524,116,2.639591
-118.293965,79,2.729173
-309.908476,98,2.793425
-262.264157,72,2.866217
-168.71654,83,2.923525
-40.408034,166,3.079835
-101.617922,75,3.135777
-57.730636,73,3.199543
-78.671525,82,3.285993
-132.053977,85,3.369997
-131.309485,98,3.468423
-46.194309,72,3.553307
-59.655812,85,3.684258
-98.971659,97,3.827474
-100.294523,99,3.946122
-115.015676,119,4.111916
-128.818383,64,4.232938
-319.003818,91,4.338545
-261.920751,125,4.534587
-113.81715,122,4.757595
-148.038404,97,4.925928
-112.008612,114,5.070083
-69.520392,126,5.205405
-39.005951,83,5.339293
-211.265858,110,5.443462
-231.144333,88,5.582285
-198.406076,84,5.727201
-170.383911,162,5.924018
-259.461038,108,6.111398
-228.578761,106,6.270663
-89.09936,110,6.422159
-137.360482,125,6.600912
-197.724011,112,6.718021
-183.949249,99,6.841918
-152.770148,85,6.938758
-71.229583,130,7.072688
-88.733856,148,7.206846
-109.773044,74,7.256479
-262.880061,157,7.394586
-201.930237,93,7.499732
-323.168081,147,7.633219
-16.728362,140,7.785491
-182.128244,127,7.932931
-136.517841,91,8.01317
-110.615102,96,8.103162
-108.076549,113,8.213299
29.881873,108,8.34021
-38.631275,123,8.455202
-281.875277,132,8.608643
-51.687901,166,8.79475
-177.754818,95,8.881669
-163.670657,74,8.960152
-101.666916,82,9.043238
-176.682884,127,9.186685
-98.81726,77,9.273559
-92.827603,145,9.4435
-53.261078,97,9.506971
-171.891651,115,9.613142
-159.308031,187,9.822949
-52.547393,168,10.020643
-26.912259,138,10.197652
-137.544127,74,10.286626
-112.357354,110,10.38108
-319.296395,160,10.609879
-199.477961,126,10.789198
-82.419168,163,11.075893
-103.632855,153,11.273837
-32.418313,154,11.584078
-195.151791,117,11.785528
-93.812426,110,11.991122
-102.731997,94,12.170466
-56.268111,88,12.328225
-78.08406,136,12.542308
-224.140142,211,12.851426
-34.301777,123,13.084607
-6.698601,196,13.43979
6.242696,132,13.619059
-86.286688,106,13.740818
-87.602528,88,13.839186
-202.162703,181,14.055744
-32.90266,198,14.274139
-178.030587,111,14.382395
-11.545406,151,14.550011
-127.371038,170,14.716157
-153.409041,126,14.864907
-19.482942,155,15.054087
-39.030558,280,15.399482
-110.665932,120,15.565905
-78.690416,99,15.700927
-112.014368,111,15.833385
-15.466401,169,16.028657
-42.92449,233,16.364383
-17.218025,205,16.669197
-96.638691,134,16.903003
-43.672646,307,17.468316
-144.164679,241,17.939631
-10.163029,347,18.658265
11.742252,137,19.042068
-36.453781,191,19.521327
-89.768881,57,19.63555
8.643804,1000,21.006749
-30.459312,217,21.25721
12.049829,320,21.596879
58.000111,1000,22.897926
-13.509762,1000,24.965665
130.753255,1000,26.430624
-44.210355,152,26.651119
77.783455,1000,27.897547
-97.807114,710,28.804821
-52.78452,693,30.478488
125.21996,821,31.78529
-86.477054,1000,32.995
-32.487633,1000,34.319053
-200.772586,652,35.370454
1.616055,1000,37.191781
63.72887,1000,38.733325
-177.832954,860,39.962308
-195.149617,991,41.284238
24.732945,1000,43.37397
-118.504795,388,44.077786
135.466683,994,45.578414
-46.354842,1000,46.76569
-41.748399,1000,48.61327
-77.67811,288,49.095852
175.177595,847,50.386096
-27.630412,1000,51.528474
145.486041,662,52.407515
-24.356472,1000,54.209006
166.195844,576,55.478889
-71.732641,392,56.336565
138.81349,801,57.276723
168.697775,650,58.075517
-95.120264,717,58.999265
138.119801,857,60.378103
-56.209484,362,61.211944
33.585012,939,62.647338
-77.562665,298,63.015943
202.215437,531,63.664904
188.582726,988,64.788918
243.029416,569,65.702664
278.269986,395,66.510964
126.67436,668,67.803258
192.014124,566,68.517552
159.263048,889,69.694872
265.117759,360,70.088633
183.975965,644,70.932942
225.446173,424,71.572415
181.531627,595,72.717012
216.309704,549,73.883278
-132.610656,520,74.566702
-88.335402,505,75.159691
152.22437,662,76.042813
295.826128,423,76.687784
-28.42025,291,77.097797
187.493425,397,77.829296
199.601724,647,79.02678
185.201485,464,80.232263
-71.398028,340,80.679406
184.644111,460,81.182214
161.919002,579,81.939289
211.083205,438,82.712222
-101.411785,351,83.242021
203.417236,515,84.245645
29.888582,385,84.97438
229.306794,412,85.772093
267.228836,279,86.331136
249.390881,322,86.680174
250.67368,405,87.20819
274.807,433,87.809856
190.962956,422,88.319934
204.397733,398,88.783821
126.753403,481,89.512903
259.056442,316,90.15545
211.735929,550,91.143849
208.407969,629,92.41013
2.763529,252,92.827416
-54.35315,251,93.169194
230.857082,449,93.671326
271.453788,244,93.981811
253.312036,319,94.430448
240.591986,296,94.752022
18.430811,341,95.145121
235.34083,333,95.759845
-25.206825,311,96.408173
264.187586,319,97.012438
218.153419,461,97.953409
233.897643,404,98.574842
248.914921,374,99.078552
260.078909,561,99.746066
219.169151,576,100.537875
223.249055,439,101.080723
251.930958,305,101.546303
212.855877,479,102.458671
286.936593,462,103.546231
223.3936,659,104.722355
219.469251,450,105.299135
239.01497,409,105.828387
240.484331,472,106.505934
274.606525,528,107.189014
79.790829,1000,109.440293
218.621815,430,110.320433
197.636225,514,110.947488
255.725774,552,111.652892
279.033785,323,112.091506
223.430136,371,112.631492
247.459883,416,113.203212
233.173006,697,114.644456
254.978986,388,115.381936
244.4476,439,116.290445
220.765665,545,116.979755
247.465921,517,117.657246
215.175963,471,118.281026
220.553844,503,118.967736
210.978756,434,119.642059
217.988209,470,120.215608
240.841458,519,121.149172
201.144086,516,122.196719
205.78509,514,123.268517
246.848751,476,123.860177
276.511937,593,124.695837
234.026068,715,125.652557
225.533571,553,126.324432
199.857213,586,127.39412
