#{"t_start": 1787080173.244044, "env_id": "LunarLander-v3"}
r,l,t
-361.923711,123,0.038719
-138.931267,91,0.045751
-216.11193,68,0.062231
-38.565605,100,0.078094
-176.81359,102,0.100166
-414.535362,96,0.111728
-164.268152,85,0.120006
-235.867858,81,0.130231
-127.407163,103,0.144559
-439.2602,88,0.161142
-281.68057,92,0.214549
-76.302908,102,0.379063
-263.473457,106,0.558166
-216.207037,63,0.658941
-86.253309,92,0.808643
-58.703648,66,0.919647
-159.846192,59,1.011224
-247.153988,87,1.151773
-104.87881,82,1.287586
-259.592478,97,1.440973
-273.023797,64,1.518288
-327.506704,113,1.638551
-98.814714,75,1.746546
-220.009635,161,2.013304
-291.938659,117,2.210683
-184.595828,121,2.406625
-370.079892,81,2.532768
-78.371725,75,2.673515
-103.147875,114,2.859087
-233.863208,75,2.988037
-537.566635,123,3.18903
-361.597536,69,3.301981
-165.023822,107,3.485622
-86.557182,74,3.604887
-268.698886,116,3.802347
-75.799035,74,3.926342
-81.118904,73,4.034965
-143.289312,83,4.183637
-233.508576,120,4.39162
-94.154545,76,4.523782
-135.434008,77,4.651978
-318.261602,188,4.920689
-117.594858,126,5.075246
-298.325079,175,5.323177
-367.149,101,5.409627
-307.025054,88,5.554334
-300.118548,95,5.715893
-168.961359,66,5.830169
-204.767478,117,6.039552
-283.001615,119,6.24392
-55.073942,162,6.529615
-184.306329,118,6.729991
-118.592337,84,6.816696
-224.957124,113,6.929135
-136.620096,85,7.019879
-381.491959,99,7.119137
-91.104849,135,7.364585
-70.270603,77,7.497296
-148.117003,88,7.662065
-47.866836,154,7.973978
-103.62242,122,8.162488
-372.469312,169,8.399833
-141.683201,138,8.655458
-197.340939,135,8.89574
-50.186804,104,9.079244
-89.13601,82,9.232666
-239.369465,108,9.431377
-51.851963,119,9.632921
-193.472532,121,9.861088
-237.381771,154,10.14742
-258.073908,128,10.376978
-77.962438,100,10.562898
-177.0764,96,10.742152
-94.917002,103,10.926498
-36.72176,130,11.160737
-107.836799,134,11.400051
-64.583704,81,11.54829
-187.604413,128,11.789881
-40.380653,101,11.977734
-31.040246,89,12.140031
-89.200808,158,12.436423
-67.551857,101,12.594762
-67.918616,127,12.735372
-152.359709,78,12.815922
-57.882201,126,13.025961
-119.168132,126,13.266245
-137.605585,132,13.511525
-50.667054,132,13.678136
-104.293331,173,13.86498
-142.666361,76,13.945882
-92.561436,160,14.220157
-41.016275,250,14.663134
-116.748088,160,14.975383
-91.797432,161,15.303749
-219.320592,92,15.473634
-84.134722,108,15.681479
-152.066746,147,15.91035
-95.017862,217,16.310207
-10.385773,119,16.524938
-87.315254,76,16.69483
-109.942375,144,16.978126
-190.992673,114,17.195482
-55.207466,135,17.455592
-56.538505,115,17.682002
-73.976366,88,17.851119
-16.983267,75,17.993838
-66.047374,142,18.287357
-166.84906,209,18.706021
-164.238685,138,18.955711
-34.304403,164,19.273367
-58.495297,222,19.685581
-4.220868,148,19.974903
-133.162822,126,20.147243
-112.917921,165,20.38479
-127.743368,281,20.683649
-73.042152,133,20.829258
-174.598929,100,21.035065
-99.72071,314,21.649433
-151.53351,149,21.934881
-258.319914,199,22.312505
-76.240687,79,22.465584
-112.603569,206,22.709237
-77.275799,510,23.628998
-119.825319,221,24.063049
-38.398585,269,24.543914
-50.93214,163,24.754607
-153.363551,209,25.187219
-60.032729,149,25.4908
-55.669075,216,25.904686
-92.21776,245,26.365731
-67.889908,404,27.168856
-125.62196,381,27.934559
-247.202291,190,28.318296
-85.414886,261,28.85518
-85.907072,762,29.893581
-113.123595,1000,31.58104
-166.605805,772,33.145039
-86.883206,1000,35.19019
-109.031956,1000,36.874594
-65.372113,1000,38.742974
-44.015445,1000,40.587978
-59.681825,1000,42.701972
-133.093632,886,44.254334
-50.216435,1000,46.382434
-44.215794,1000,48.540803
-94.873165,1000,50.712685
-78.682515,1000,52.898377
137.033034,685,53.990592
-69.808294,1000,55.865687
-83.998269,1000,58.063063
-80.912316,1000,60.238872
-80.8075,1000,62.432719
-91.301903,1000,64.598005
-120.192223,1000,66.803926
-108.386051,1000,68.910363
-126.353809,1000,71.12963
-30.631612,1000,73.207546
-22.648531,1000,74.923783
-80.554653,1000,76.646491
82.565878,960,78.276305
129.402392,828,79.750756
-63.605888,710,81.300663
-89.262308,521,82.423786
-86.002147,804,84.165442
153.367995,649,85.481457
132.211286,919,87.376708
