#{"t_start": 1787088613.6246548, "env_id": "LunarLander-v3"}
r,l,t
-120.569059,113,0.182272
-145.839251,103,0.310308
-92.183077,97,0.421604
-77.834696,133,0.598348
-72.236226,79,0.696645
-263.090971,111,0.831832
-51.697478,62,0.904981
-138.798676,98,1.033432
-355.684716,84,1.126165
-33.639343,109,1.262319
-133.211677,64,1.340909
-89.15769,68,1.410293
-176.574992,87,1.525076
-7.836147,95,1.648098
-115.589713,68,1.733007
-133.770235,106,1.853345
-446.251586,122,1.98221
-534.870749,109,2.10761
-394.513321,138,2.266124
-116.141527,94,2.385618
-161.075438,74,2.472317
-71.657515,65,2.552972
-141.645773,111,2.6815
-136.729594,85,2.777279
-122.939969,122,2.92716
-122.82725,136,3.087371
-222.032329,70,3.168279
-306.344049,99,3.247439
-123.00318,75,3.33854
-142.544309,75,3.427415
-151.528117,65,3.504867
-119.735902,94,3.612772
-398.006948,85,3.711607
-199.289047,102,3.829532
-262.052722,98,3.940988
-274.881864,79,4.040787
-324.206823,119,4.153723
-135.280709,101,4.263602
-235.797101,100,4.393154
-134.467167,120,4.511751
-106.773351,92,4.566331
-565.851449,93,4.627
-129.352812,74,4.716672
-210.027709,110,10.587545
-495.971356,95,10.708473
-384.234978,123,10.860093
-82.037691,72,10.946707
-162.109467,120,11.080899
-242.068586,102,11.206865
-185.675284,83,11.305501
-88.653019,64,11.380252
-105.338246,69,11.462253
-87.255749,75,11.551396
-153.021536,70,11.634204
-89.506982,100,11.740853
-93.067456,107,11.867254
-229.203245,73,11.953359
-78.112793,66,12.029838
-104.427003,81,12.07938
-150.192273,78,12.124944
-286.688299,85,12.174249
-154.392013,77,12.223495
-224.955156,116,12.298316
-539.233737,104,12.363234
-101.684565,71,12.408455
-400.467342,91,12.469954
-55.047629,71,12.551059
-100.18918,68,12.630124
-349.556039,96,12.737089
-88.417173,113,12.842221
-105.334384,115,12.91683
-103.300662,76,12.966292
-80.421671,77,13.027611
-122.125904,65,13.107069
-125.971457,124,13.243032
-98.574161,59,13.322268
-231.063625,114,13.453494
-199.787006,107,13.581688
-65.765206,67,13.657073
-108.186533,70,13.74277
-319.178836,136,13.901541
-185.521196,115,14.036861
-93.850911,73,14.125377
-104.369608,75,14.192364
-262.422687,132,14.281132
-364.035544,97,14.364131
-129.137529,76,14.460944
-83.997052,84,14.534785
-159.231533,109,20.113954
-171.101138,122,20.259708
-179.198868,103,20.383826
-170.50116,96,20.496771
-98.950843,62,20.571415
-171.905732,73,20.65637
-111.558047,96,20.767757
-108.857173,98,20.88171
-344.203945,104,21.002654
-127.104708,94,21.114727
-72.649566,86,21.215982
-133.401436,102,21.334071
-112.793182,73,21.41508
-99.158031,143,21.585611
-398.469219,89,21.69067
