#{"t_start": 1787091721.0090675, "env_id": "LunarLander-v3"}
r,l,t
-292.418419,78,0.120576
-345.236947,103,0.189891
-302.91225,98,0.26125
-155.362227,84,0.322743
-378.840547,106,0.39607
-112.39864,106,0.473128
-90.064125,64,0.510498
-164.822149,113,0.595113
-171.281003,110,0.677425
-84.57325,67,0.752724
-17.997717,125,0.917869
-110.450061,63,0.996679
-133.993717,75,1.091697
-108.126083,83,1.194474
-336.378142,64,1.271674
-177.748303,61,1.336933
-110.164837,72,1.425955
-396.465618,90,1.536852
-243.626594,71,1.620899
-125.194358,101,1.738762
-125.640877,81,1.833068
-207.128019,96,1.937819
-138.066089,82,2.035301
-234.028239,77,2.138937
-377.952646,96,2.251194
-216.625494,91,2.359867
-289.184568,83,2.451578
-181.853392,118,2.545928
-188.693035,70,2.631892
-307.596303,103,2.7525
-112.158455,67,2.831762
-351.573752,92,2.940246
-185.673491,81,3.027342
-177.400023,60,3.108514
-228.153807,105,3.234992
-185.401446,113,3.367235
-139.695811,129,3.517853
-109.919445,84,3.618763
-266.853083,89,3.724898
-107.408942,63,3.797982
-161.705206,95,3.908823
-91.485984,59,3.975989
-125.758013,102,4.086969
-550.712842,137,4.260069
-8.375801,89,4.364428
-216.395628,86,4.466448
-109.087548,139,10.602213
-306.673609,110,10.742698
-222.580008,94,10.869727
-135.550491,71,10.948804
-46.42848,93,11.066964
-76.449662,89,11.171602
-270.910644,128,11.321202
-119.194411,73,11.408827
-127.874247,98,11.523496
-200.513053,90,11.631454
-232.078322,94,11.742464
-398.330435,84,11.841334
-147.487079,67,11.919666
-213.947745,100,12.053011
-128.997996,75,12.166511
-307.301928,75,12.245753
-182.82436,110,12.402282
-121.013562,80,12.50637
-122.416768,98,12.636541
-219.753268,115,12.778376
-91.101737,111,12.918267
-103.576117,68,12.997351
-236.423462,135,13.159077
-114.459202,122,13.303472
-256.087456,115,13.426031
-83.394197,68,13.520482
-82.399509,66,13.583517
-104.761356,58,13.664334
-90.122634,93,13.779137
-232.858004,75,13.867732
-348.905068,114,14.001776
-120.382659,82,14.100349
-251.048165,125,14.245401
-322.218164,118,14.387874
-182.55724,89,14.482934
-177.253299,117,14.625095
-277.564747,93,14.739895
-118.979695,93,14.850327
-149.866439,135,15.004731
-76.38035,65,15.083846
-137.17677,79,15.178971
-154.938055,70,15.258354
-146.203315,65,15.337192
-209.951617,108,20.893916
-171.159912,90,20.963515
-66.184743,82,21.022594
-260.562573,106,21.095672
-44.566746,88,21.159332
-301.816805,129,21.250498
-111.765581,93,21.315541
-156.172293,140,21.412052
-103.418737,86,21.459535
-284.22957,88,21.585618
-41.60633,116,21.714376
-166.700481,93,21.82928
