#{"t_start": 1787084681.1119554, "env_id": "LunarLander-v3"}
r,l,t
-121.530021,113,0.376206
-147.020399,103,0.637779
-93.766394,97,0.828525
-79.782522,133,1.068156
-72.381098,79,1.188874
-261.549198,111,1.34232
-52.873819,62,1.424818
-138.49765,98,1.57658
-352.857617,84,1.752964
-34.797996,109,1.997497
-133.35622,64,2.159906
-88.102261,68,2.325777
-175.870852,87,2.558798
-5.827151,95,2.80416
-116.480215,68,2.978712
-135.456386,106,3.213257
-440.751522,122,3.53953
-528.222051,109,3.814014
-391.158193,138,4.168062
-117.208589,94,4.411584
-159.931424,74,4.603598
-72.915402,65,4.778281
-142.152577,111,5.067031
-137.440405,85,5.28636
-122.829103,122,5.602883
-124.854239,136,5.907673
-220.652836,70,6.090466
-304.515101,99,6.328786
-122.638178,75,6.510757
-141.641555,75,6.710919
-151.292874,65,6.878455
-120.770155,94,7.119646
-393.312876,85,7.339954
-197.464976,102,7.604895
-259.678788,98,7.85697
-272.014249,79,8.066126
-318.926244,119,8.370063
-135.953871,101,8.633593
-233.531714,100,8.779357
-134.599651,120,8.973667
-107.872561,92,9.214735
-557.08771,93,9.444669
-129.129603,74,9.648921
-208.036647,110,20.823945
-489.426269,95,21.073895
-381.260178,123,21.388252
-82.808114,72,21.574064
-164.066091,119,21.883417
-216.804023,119,22.183602
-224.168935,121,22.503665
-173.152334,137,22.822148
-290.931367,114,23.015375
-95.475979,70,23.138335
-112.605166,117,23.306987
-275.598605,112,23.465755
-260.877965,144,23.679747
-75.302563,72,23.856551
-268.471437,125,24.176498
-356.183068,128,24.502255
-179.572648,82,24.709656
-164.949129,96,24.96156
-78.343796,56,25.117183
-123.589894,100,25.33476
-65.021787,71,25.522094
-174.706443,108,25.801936
-93.928314,68,25.97753
-128.713819,82,26.132257
-267.561199,81,26.341698
-304.51802,124,26.677934
-310.583847,96,26.924775
-387.753805,114,27.216368
-194.176288,116,27.515384
-2.611674,84,27.734854
-142.09372,126,28.055089
-267.55416,67,28.230367
-163.852865,150,28.61211
-183.433108,139,28.973011
-82.276757,77,29.177637
-178.520461,110,29.464571
-101.285956,62,29.639445
-83.472056,60,29.814198
-96.666185,67,29.997279
-459.029096,92,30.215821
-185.907267,115,40.718338
-279.775979,133,40.912436
-221.452134,101,41.175231
-127.459678,102,41.434291
-101.330899,72,41.619665
-122.780522,80,41.827101
-164.689992,76,42.02312
-118.913148,66,42.191115
-339.855206,107,42.467922
-262.020923,128,42.798364
-115.426762,100,43.011113
-123.203364,84,43.134052
-180.365121,118,43.341642
-219.072123,82,43.549707
-141.855917,91,43.680833
-70.836811,84,43.805713
-327.202572,95,43.938703
-215.98159,97,44.083376
-241.755191,104,44.21411
-92.058643,79,44.405907
-105.66357,148,44.784908
-176.914661,138,45.141789
-235.861135,102,45.413322
-295.768012,77,45.61426
-463.310045,116,45.908774
-107.570898,67,46.083272
-208.878395,76,46.2791
-265.105629,129,46.612026
-186.005368,120,46.924551
-113.453794,78,47.126407
-39.990628,156,47.51649
-100.713437,78,47.721494
-138.680794,83,47.930135
-358.045689,154,48.332042
-106.373901,64,48.501803
-514.882525,137,48.847522
-69.219318,61,49.006166
-82.374884,97,49.257323
-246.013554,112,49.549995
-124.287617,84,49.764242
-98.661585,90,50.010788
-84.391913,73,50.199284
-368.506779,105,62.798034
-151.223178,97,62.991561
-107.733405,66,63.098963
-88.695479,92,63.255641
-376.950671,107,63.41973
-176.82401,92,63.560068
-221.080983,158,63.807906
-35.325404,79,63.932835
-67.970718,79,64.065666
-100.356776,103,64.232393
-308.016486,97,64.389375
-112.160294,121,64.715024
-99.457835,101,65.0081
-175.15659,120,65.337874
-123.966568,78,65.550143
-267.717042,144,65.95857
-110.31639,109,66.266233
-164.857368,85,66.50102
-70.348681,104,66.797467
-28.049354,65,66.981066
-212.517754,142,67.363431
-252.406885,93,67.607903
-49.196582,85,67.835353
-115.226553,79,68.04702
-66.83939,125,68.270597
-131.125775,98,68.409093
-76.234326,85,68.602508
-197.864466,101,68.865568
