#{"t_start": 1787083131.0081294, "env_id": "LunarLander-v3"}
r,l,t
-285.25281,78,0.195662
-335.112264,103,0.379527
-292.704712,98,0.561291
-148.18105,84,0.71332
-367.739328,106,0.900749
-106.040143,106,1.093998
-85.560588,64,1.214025
-157.778917,113,1.415739
-162.537113,110,1.625012
-79.491362,67,1.74773
-9.97373,125,1.978858
-105.239633,63,2.097382
-129.222658,75,2.22929
-102.773941,83,2.385504
-328.558058,64,2.505853
-172.264906,61,2.618934
-105.046858,72,2.750365
-385.973876,90,2.916647
-236.742693,71,3.048683
-118.535871,101,3.235575
-119.576233,81,3.386269
-199.519784,96,3.558598
-131.893725,82,3.705011
-227.60715,77,3.846945
-368.652998,96,4.021038
-209.616008,91,4.186953
-281.698994,83,4.336791
-174.939126,118,4.554807
-182.556958,70,4.678632
-297.776692,103,4.866051
-106.666216,67,4.987143
-341.552613,92,5.15936
-179.029104,81,5.307328
-171.48638,60,5.417954
-221.402545,105,5.553705
-178.761648,113,5.666952
-129.36906,129,5.795743
-104.909445,84,5.884305
-260.100557,89,5.991543
-102.195158,63,6.098036
-154.412005,95,6.270024
-86.192309,59,6.378405
-119.634766,102,6.557785
-537.193083,137,6.806602
-0.958195,89,6.976841
-209.948197,86,7.140776
-110.611446,141,15.256522
-360.939963,98,15.436446
-293.12802,90,15.600078
-362.249894,91,15.767765
-128.901527,89,15.928233
-221.216649,108,16.12314
-74.172443,90,16.292728
-118.837447,94,16.466331
-81.215488,69,16.560492
-312.943567,92,16.654933
-85.092523,69,16.727059
-125.155137,66,16.795063
25.137076,116,16.914887
-248.540747,95,17.016824
-80.386483,112,17.136798
-178.285953,116,17.25642
-181.372026,149,17.409631
-172.354523,102,17.514848
-340.59655,103,17.69347
-327.356186,138,17.943684
-170.187322,64,18.068161
-285.087159,127,18.301867
-136.05048,127,18.541437
-209.674767,108,18.735878
-92.03485,108,18.93663
-277.026874,107,19.124048
-159.347867,59,19.244417
-81.039993,83,19.396774
-60.931145,98,19.568431
-149.473427,122,19.797636
-87.354405,96,19.970452
-209.997705,112,20.172368
-187.868835,113,20.387366
-124.014158,86,20.546137
-333.80395,127,20.765837
-128.755403,74,20.842909
-165.576126,66,20.909616
-130.35527,130,21.044223
-58.421373,91,21.133502
-157.186415,117,21.250925
-163.387978,76,28.83208
-74.053486,66,28.901864
-116.559248,85,28.988955
21.559976,151,29.214681
-215.762147,129,29.453618
-117.032722,73,29.589763
-92.980706,77,29.734101
-224.384926,140,29.971008
-93.698912,122,30.091875
26.413364,103,30.199131
-191.614409,139,30.333365
-123.794929,86,30.424324
-186.614306,120,30.594315
-85.32842,70,30.722375
-111.341796,68,30.846511
-285.908066,99,31.023689
-114.562717,80,31.169213
-192.686208,85,31.32373
-26.753337,76,31.466136
-130.756272,94,31.635486
-70.653134,73,31.771402
-193.011386,59,31.87941
-77.745053,72,32.013958
-233.488813,122,32.230545
-175.859577,71,32.361953
-115.420046,127,32.592636
-221.131727,115,32.805369
-103.385669,62,32.91765
-89.899291,69,33.04596
-104.635272,65,33.162062
-183.272956,150,33.438763
-88.675082,99,33.622472
-316.738577,114,33.834077
-143.917619,81,33.98281
-87.880273,68,34.109658
-342.663611,102,34.293334
-235.976531,142,34.553801
-249.755772,120,34.776148
-238.032293,83,34.930481
-107.45754,78,35.072506
-129.150482,90,35.232112
-57.112718,64,35.297364
-108.116107,96,35.393197
-108.116472,84,35.477741
-25.048845,75,43.045201
-148.246809,132,43.286878
-117.200004,78,43.431136
-87.777744,64,43.551368
-95.516947,96,43.72942
-119.345184,106,43.915028
-72.030165,83,44.077595
-131.319876,90,44.244563
-143.791723,124,44.4131
-144.303757,130,44.629237
-149.751437,114,44.831237
-248.351674,120,45.016377
-117.555125,62,45.075766
-212.974576,113,45.191096
-91.015993,78,45.270652
-105.04817,96,45.369833
-257.53216,115,45.546323
-120.12777,117,45.771707
-128.098248,85,45.925989
-229.471292,100,46.050517
-206.541686,121,46.259759
-186.179241,115,46.474808
-83.457818,85,46.629399
-62.259533,149,46.896552
-82.958111,127,47.14028
-143.976023,128,47.363403
-117.650355,118,47.538362
-124.618167,122,47.762892
-101.707281,86,47.915493
-80.191741,111,48.126904
-133.057349,111,48.327847
-99.979638,69,48.456098
-111.753079,124,48.681588
-264.456761,106,48.87412
-41.438632,78,49.02078
-54.840369,78,49.162519
-200.210726,98,49.343744
-83.065385,86,49.503845
-198.700752,116,49.718317
-161.186718,72,49.850876
-178.476287,134,57.516541
-98.746064,79,57.598303
-231.156449,121,57.730342
-159.925581,155,58.015865
-65.414674,104,58.209955
-73.699192,113,58.419095
-92.642334,137,58.670494
-56.080786,91,58.83815
-68.132285,78,58.981967
-201.038602,111,59.184023
-77.659266,90,59.349653
-46.967928,143,59.611024
-172.651989,184,59.948428
-107.085964,95,60.1241
-82.222935,101,60.30831
-9.883396,81,60.458426
-88.480069,103,60.64838
-225.237638,103,60.835823
-164.483767,117,61.045319
-133.633903,143,61.306473
-59.367008,95,61.481652
-65.531314,88,61.646885
-78.344583,71,61.775182
-70.305393,87,61.932539
-219.9132,185,62.199339
-57.243903,132,62.439332
-72.745026,70,62.569187
-259.671128,82,62.723765
-59.14482,63,62.839699
-99.028408,81,62.984119
-75.660453,68,63.108988
-89.390711,105,63.300429
-86.582383,84,63.454797
-87.597114,98,63.631185
-167.747552,83,63.783763
-68.230961,148,64.052114
-111.484904,57,64.158583
-142.985319,69,64.28461
-164.250008,107,64.482332
-42.842581,90,71.744051
-122.789641,93,71.917791
-39.356723,112,72.124129
-99.910187,189,72.461645
-194.90359,125,72.692899
-90.428607,108,72.893713
-184.498293,97,73.067989
-180.628778,114,73.274938
-334.16459,111,73.481251
-230.689833,163,73.77534
-248.507596,112,73.980829
-86.29536,77,74.111735
-82.006052,144,74.329638
-84.60909,64,74.404036
-184.213336,122,74.532928
-368.400279,158,74.692694
-127.946345,90,74.787986
-80.756168,92,74.882942
-134.604907,125,75.012096
-141.612749,165,75.296983
-123.117945,133,75.539746
-263.085735,172,75.859086
-166.238595,157,76.072369
-35.05484,166,76.31142
-100.727461,121,76.432465
-192.891387,143,76.641528
-56.221549,83,76.797512
-46.24529,86,76.956648
-140.922288,112,77.168397
-98.18729,118,77.386938
-124.911272,101,77.571743
-82.786258,75,77.709715
-112.077286,65,77.792783
-166.5682,154,77.954682
-112.023475,143,85.818807
1.298084,140,86.081684
-145.281232,133,86.323957
-90.371631,102,86.51023
-79.837623,94,86.680502
-37.14546,102,86.868773
-80.172804,88,87.027573
-42.497749,94,87.203758
-298.832516,118,87.42522
-199.983715,176,87.743675
-49.98686,169,88.05468
-91.964776,138,88.309205
-78.268142,81,88.459565
-94.10069,67,88.581677
-91.326368,140,88.835761
-135.163814,235,89.160286
-198.529965,186,89.36074
-118.693472,166,89.519715
-151.26058,248,89.945903
-60.736407,139,90.174986
-225.782063,118,90.38772
-104.620979,148,90.653821
-112.938764,169,90.905563
-80.093367,96,91.003352
-105.05229,129,91.24269
-94.816896,138,91.49812
-84.37104,155,91.778177
-112.772025,103,91.959512
-61.327506,120,92.137164
-105.481898,113,92.317835
-99.152666,183,92.643523
-76.320657,73,99.892758
-98.524935,111,100.066561
-103.703559,66,100.135727
-29.671662,145,100.289474
-118.96202,135,100.515691
-165.246624,174,100.89922
-223.36323,148,101.20322
-138.634156,147,101.430656
-84.244682,70,101.501946
-55.909295,85,101.582367
-256.057473,152,101.740657
-35.18355,121,101.897341
-140.555251,115,102.1064
-80.555855,96,102.28009
-120.048734,68,102.405558
-190.676694,80,102.548628
-49.903474,123,102.783479
-53.612635,100,102.954315
-214.247676,119,103.178049
-88.514321,138,103.450617
-51.856384,98,103.65428
-77.90005,99,103.853536
-43.914575,104,104.062257
-100.763026,103,104.26591
-65.962895,99,104.455009
-55.030225,169,104.789778
-130.702871,79,104.931069
-258.997799,208,105.310167
-137.455774,164,105.607556
-62.720336,152,105.887629
-86.56007,136,106.132329
-66.547374,148,106.396696
-122.351126,126,106.600518
-69.313951,151,114.403574
-60.937322,110,114.579758
-99.798438,161,114.800916
-69.31517,124,114.962713
-25.943559,115,115.173025
-37.211961,136,115.417704
-9.463894,159,115.703688
-200.354958,214,116.10669
-122.19674,229,116.51925
-79.478007,192,116.871209
26.079333,170,117.18497
97.112896,1000,118.897763
-93.693839,105,119.090044
-51.957026,107,119.284441
-65.816346,100,119.452548
-43.824107,169,119.73319
-27.097867,102,119.931111
33.7513,102,120.118915
-32.531943,163,120.416778
-170.58263,108,120.616122
-57.048775,117,120.832854
-30.502346,88,120.991991
-112.020611,90,121.157895
170.227626,1000,130.189975
-64.334845,93,130.362352
-143.942597,152,130.640009
-68.448555,68,130.728567
-80.448294,142,130.871515
-44.854908,101,130.974431
-134.18776,130,131.157148
-96.1532,85,131.311276
-14.769413,187,131.636695
-21.787775,155,131.927705
-18.391551,77,132.069518
-75.672289,120,132.295917
-45.984044,148,132.536403
-77.935123,107,132.686741
-46.949071,115,132.89208
-74.313866,91,133.057823
-16.285774,121,133.271297
-143.674054,116,133.480588
-41.871241,104,133.662938
-70.389346,132,133.802676
-65.216436,105,133.899387
-96.223222,121,134.025622
-113.523313,83,134.135327
2.183012,109,134.353248
-37.405527,106,134.538267
3.43188,93,134.701744
-33.963697,132,134.94531
-97.4529,196,135.309207
-25.575752,122,135.52735
29.780473,91,143.275368
-63.095076,88,143.436432
-61.799994,171,143.654819
-85.014287,158,143.944785
-141.098074,145,144.206532
-0.941687,115,144.416166
-49.901033,116,144.626504
-13.609805,89,144.790686
-36.024528,105,144.983875
-71.141738,152,145.260558
-76.326319,150,145.537988
-77.27871,127,145.71124
-97.03628,129,145.887376
-26.004885,105,146.078549
-35.929931,155,146.365845
-5.419972,162,146.534596
-30.687955,131,146.712924
-36.430816,105,146.90486
-1.17112,89,147.066765
-42.471006,154,147.347658
135.427884,1000,149.218003
-28.123163,96,149.397277
-33.061227,88,149.555632
-16.468758,118,149.768845
-41.825329,90,149.93483
-2.668389,118,150.144629
-10.693883,123,158.297071
-40.377708,130,158.520682
-2.376203,191,158.872562
-45.289266,158,159.156965
-42.515046,90,159.311059
-43.845133,132,159.529014
-92.473037,141,159.786536
-2.577546,95,159.963688
-6.00185,158,160.252098
-73.773632,109,160.449226
