#{"t_start": 1787090821.246969, "env_id": "LunarLander-v3"}
r,l,t
-55.510834,104,0.190202
-143.268837,74,0.289663
-138.728394,86,0.400337
-114.221178,77,0.500629
-178.564228,123,0.661874
-92.945377,70,0.750506
-124.532942,68,0.83965
-83.800822,96,0.966196
-299.717866,114,1.121304
-79.144377,73,1.223456
-122.905502,90,1.350441
-61.016022,90,1.470744
-103.055615,129,1.629088
-82.236864,66,1.723829
-125.010311,67,1.804374
-123.61437,60,1.86521
-79.83808,68,1.945097
-333.354496,102,2.073605
-165.875406,101,2.196722
-415.011858,103,2.318754
-415.472682,79,2.403215
-111.161397,57,2.480677
-249.329025,131,2.634221
-206.431247,102,2.751203
-396.263024,98,2.862352
-259.843946,75,2.95456
-223.827022,90,3.058694
-272.690421,70,3.151801
-121.851158,108,3.281381
-82.440018,69,3.32275
-305.516908,140,3.4339
-91.575798,61,3.516371
-162.909147,87,3.608795
-252.471767,107,3.685004
-126.397143,105,3.774675
-281.032693,95,3.895464
-183.477109,111,3.996244
-106.806115,61,4.039977
-113.067341,114,4.116814
-286.322395,116,4.239096
-305.457126,122,4.390614
-90.856026,80,4.483783
-359.17123,96,4.598431
-272.097874,104,4.716141
-261.665414,105,10.445544
-55.375293,65,10.529414
-127.828801,93,10.653685
-192.469818,112,10.79947
-116.878861,101,10.924134
-233.453322,127,11.073286
-128.236685,72,11.157695
8.436337,114,11.247754
-87.651331,73,11.295207
-77.905395,64,11.349436
-133.939365,106,11.47465
-127.954448,113,11.607051
-109.179527,77,11.69997
-85.320985,115,11.841373
-64.295827,115,11.931959
-97.560551,110,12.011381
-279.301403,96,12.084394
-143.723857,77,12.139777
-127.559898,99,12.212166
-161.502697,78,12.273401
-217.036243,105,12.350501
-83.316263,74,12.42356
-79.771566,78,12.534509
-103.274092,72,12.621074
-116.491896,72,12.709894
-2.303828,71,12.797289
-135.240085,77,12.880059
-122.749643,79,12.9911
-139.053576,73,13.079072
-331.091128,101,13.199318
