#{"t_start": 1786223560.0353122, "env_id": "LunarLander-v3"}
r,l,t
-351.158977,123,0.056668
-131.249228,91,0.091416
-207.867674,68,0.112657
-28.939202,100,0.147762
-165.300501,102,0.182252
-402.625129,96,0.208361
-157.741211,85,0.228653
-229.135721,81,0.246675
-119.822411,103,0.271676
-428.380855,88,0.291143
-271.61107,93,0.358482
-189.001686,94,0.535632
-83.656598,153,0.813128
-191.432548,95,0.945822
-92.426584,86,1.052819
-310.156536,101,1.175463
-309.270691,150,1.354184
-169.660103,156,1.522455
-106.17948,90,1.610301
-46.337372,81,1.710633
-239.332861,113,1.83475
3.814418,99,1.935954
-205.949574,118,2.068497
-229.418323,113,2.191968
-371.264642,144,2.34345
-127.35156,157,2.52042
-120.92444,92,2.615358
-68.088965,134,2.775465
-110.8782,106,2.897721
-47.256661,124,3.036355
-251.006057,134,3.183093
-18.115477,426,3.673311
-109.615536,109,3.789656
-42.937182,164,3.98486
-42.548826,140,4.138265
-114.421006,76,4.228004
-137.21353,123,4.469192
-49.69742,102,4.594897
-83.281112,83,4.704376
-75.703623,212,4.965202
-64.881963,93,5.073741
-81.477861,196,5.314723
-90.304132,93,5.443782
80.20332,1000,6.895984
-102.832189,202,7.269181
172.964588,940,8.767572
168.430087,693,10.297547
-124.450583,1000,12.221144
-122.898654,1000,13.999504
-104.252703,1000,15.518423
-89.988478,1000,17.009583
-119.810224,1000,18.48328
-141.174861,1000,19.772631
-123.647268,1000,21.120368
-113.44422,1000,22.426321
-84.527457,1000,23.736929
-108.521959,1000,25.074584
-132.184422,1000,26.422206
-11.634728,1000,27.743799
-88.938316,1000,29.055843
-8.705462,1000,30.370012
-62.299677,1000,31.693772
-95.345184,1000,33.040712
-3.57649,1000,34.357756
-54.144588,1000,35.709763
-23.952468,1000,37.041296
-64.612887,1000,38.317731
-53.251843,1000,39.669659
-68.495355,1000,40.985874
-42.648961,1000,42.237449
-13.566899,1000,43.51146
-75.530554,264,43.853262
-107.259922,127,44.013813
-99.608101,144,44.186813
-56.403341,1000,45.472409
-67.968237,1000,46.75142
-32.840162,1000,48.049937
223.906549,577,48.83008
-52.798479,1000,50.136514
-31.754949,211,50.405839
-69.332476,1000,51.713255
235.907241,348,52.343127
-72.771129,266,52.704536
-95.229045,279,53.076907
-56.15682,284,53.482895
-88.059104,151,53.686888
-28.609677,1000,55.000269
-25.651193,297,55.393643
-118.1536,364,55.86852
209.483616,409,56.416316
-182.246263,700,57.349291
-31.758961,1000,58.666174
224.42929,396,59.17886
223.410066,515,59.850809
-34.465889,241,60.168332
-117.234203,415,60.709905
-71.523653,1000,62.027833
-81.297629,302,62.429729
-117.067716,200,62.694718
-42.452756,1000,64.031601
-64.035469,1000,65.35235
-180.977372,687,66.288865
260.406272,527,66.973312
