#{"t_start": 1786223986.2476335, "env_id": "LunarLander-v3"}
r,l,t
-3.442304,71,0.027983
-414.987905,88,0.052549
-130.885831,62,0.069498
-338.353129,128,0.101717
-331.297186,76,0.122375
-231.403016,106,0.14483
-84.651386,59,0.158036
-111.212243,88,0.180825
-116.280852,85,0.199937
-94.711162,112,0.224041
-372.069476,74,0.23911
-451.167676,92,0.305213
-95.489198,146,0.486353
-359.599789,86,0.586524
-73.014846,79,0.682486
-320.304808,127,0.833896
-16.02406,79,0.923568
-98.335909,81,1.003434
-103.777914,124,1.142134
-79.204843,97,1.255026
-359.16686,182,1.445253
-32.464163,130,1.574405
-127.992892,98,1.688944
-59.993386,91,1.789487
-23.680334,107,1.907461
-85.248797,203,2.122773
-20.99251,134,2.257793
-369.106631,147,2.423172
-29.999313,84,2.521646
-177.829981,129,2.671961
-73.349731,161,2.856259
-139.988531,134,3.001876
-147.337509,158,3.178601
-106.984774,98,3.278894
-30.17816,147,3.442729
-66.954641,127,3.580906
-91.266573,138,3.732447
-56.096645,121,3.873859
-61.808672,182,4.072559
-16.794593,135,4.227221
-40.134612,149,4.39739
-121.303728,131,4.537268
-42.512371,183,4.744447
-81.513877,99,4.863367
-104.733793,96,4.974535
26.024306,161,5.166812
-169.408995,356,5.580932
-122.556218,235,5.840641
-108.438577,559,6.511509
-179.524454,1000,8.108934
-41.716894,1000,9.614862
-137.1526,1000,11.583354
-148.766191,1000,13.41284
-110.619483,1000,14.914675
-115.334275,1000,16.495408
-84.560727,1000,17.800826
-120.135208,1000,19.29555
-59.748088,1000,20.618273
-136.333689,1000,21.900879
-140.587088,1000,23.152221
-70.028708,1000,24.423495
23.820471,1000,25.785322
-72.977454,1000,27.059623
-140.689848,1000,28.340122
-170.609736,1000,29.630211
-92.626677,1000,30.896216
-68.907438,1000,32.17442
-17.926742,1000,33.444891
-110.649977,1000,34.810976
-49.449342,1000,36.063124
-22.412786,1000,37.333565
-63.135962,1000,38.580102
-59.354104,1000,39.819913
-33.355778,1000,41.058855
-69.981125,1000,42.305778
-40.051989,1000,43.589749
-57.372405,1000,44.895559
-56.591416,1000,46.212898
-60.537665,1000,47.457012
-58.194811,339,47.886959
-50.527031,1000,49.197943
-35.678439,1000,50.477661
5.094625,1000,51.796925
-28.377281,1000,53.049943
-24.949073,1000,54.341702
-15.095772,1000,55.605786
-73.10216,1000,56.88021
-74.512367,1000,58.175169
-72.444362,1000,59.451829
-67.713376,1000,60.733625
-28.856008,1000,61.980376
-57.136642,1000,63.252921
-64.397237,1000,64.525615
