#{"t_start": 1786686393.8922398, "env_id": "LunarLander-v3"}
r,l,t
-351.158977,123,0.090364
-131.249228,91,0.135051
-207.867674,68,0.161637
-28.939202,100,0.198
-165.300501,102,0.218476
-402.625129,96,0.237495
-157.741211,85,0.254794
-229.135721,81,0.270173
-119.822411,103,0.288992
-428.380855,88,0.304872
-259.81245,93,0.361272
-131.687677,87,0.479674
-45.753159,141,0.649596
-91.698024,102,0.776336
-136.256534,72,0.861228
-336.780357,113,0.986437
-335.484469,115,1.121293
-237.924348,94,1.222708
-410.818635,89,1.328331
-275.116065,97,1.437355
-95.373995,71,1.522708
-98.441672,92,1.622813
-291.97957,141,1.78136
-392.833599,162,1.964864
-147.814014,82,2.063168
-370.081639,267,2.385929
-240.931084,182,2.603028
-200.329488,148,2.787252
-117.897044,79,2.876592
-192.045836,118,3.020981
-85.106979,81,3.107889
-43.370555,185,3.327749
-233.159548,159,3.513598
-225.433842,132,3.66319
-88.434693,82,3.764866
-129.553911,144,3.930506
-24.296571,90,4.101155
-151.445185,133,4.272894
8.039838,1000,5.542764
58.922735,1000,7.595107
-254.988977,271,8.033461
-45.866681,535,8.928624
-103.417358,216,9.482915
-129.989465,464,10.111794
-104.318064,152,10.312263
-245.927332,126,10.476956
-107.326616,222,10.843449
-37.437566,201,11.134206
-112.019854,1000,12.987726
-111.187178,1000,15.472795
-55.422799,1000,17.374408
-258.579623,155,17.66921
-316.981119,212,18.049168
-102.777881,1000,19.790452
-284.735142,172,20.186476
-150.057417,1000,22.287697
-66.56537,1000,23.792542
-89.399581,1000,25.616189
-105.167459,1000,27.066208
-101.083497,1000,28.615641
-114.172571,1000,30.048424
-89.037261,1000,31.484697
-80.337263,1000,32.938925
-120.964655,1000,34.329389
-95.207442,1000,35.717687
-32.973037,1000,36.951525
199.048025,886,38.1101
-125.10061,1000,39.341328
-95.012052,1000,40.63945
-129.974318,834,41.68922
-85.725268,1000,42.936359
-39.642628,1000,44.216873
-93.687608,1000,45.479845
22.141877,1000,46.724168
-65.929125,1000,48.070664
-95.065736,1000,49.352264
-69.939132,1000,50.564874
-75.646476,1000,51.844097
49.568937,1000,53.054748
-51.068463,1000,54.293429
-41.964866,1000,55.554348
-56.94753,1000,56.774121
-48.388676,1000,57.988651
-56.009279,1000,59.276435
182.696131,883,60.365563
109.536264,985,61.598508
104.568641,973,62.790577
-6.986688,1000,64.052354
119.10482,948,65.239575
199.094165,556,65.918128
65.834841,852,67.059974
120.374635,910,68.174642
214.296395,512,68.815343
278.682316,382,69.318767
