#{"t_start": 1786685877.6673079, "env_id": "LunarLander-v3"}
r,l,t
-351.158977,123,0.038273
-131.249228,91,0.058967
-207.867674,68,0.076321
-28.939202,100,0.102763
-165.300501,102,0.123909
-402.625129,96,0.14711
-157.741211,85,0.165477
-229.135721,81,0.186309
-119.822411,103,0.206701
-428.380855,88,0.22331
-259.81245,93,0.267841
-131.687677,87,0.366868
-45.753159,141,0.583849
-91.698024,102,0.703707
-136.256534,72,0.784981
-336.780357,113,0.916404
-335.484469,115,1.039816
-237.924348,94,1.142598
-410.818635,89,1.234382
-275.116065,97,1.344418
-95.373995,71,1.421579
-98.441672,92,1.520689
-291.97957,141,1.660263
-392.833599,162,1.830694
-147.814014,82,1.921467
-370.081639,267,2.198782
-240.931084,182,2.398598
-200.329488,148,2.568837
-117.897044,79,2.668048
-168.23565,123,2.798271
-137.690691,168,2.985097
-55.447218,85,3.067127
-200.261989,136,3.205448
-138.736063,101,3.326028
-220.492777,87,3.415992
-160.832746,118,3.556491
-86.629591,185,3.811798
-179.317012,186,4.044484
-118.28548,227,4.330884
-128.243109,114,4.476783
-118.6874,131,4.627762
-63.057318,168,4.827376
-251.713167,241,5.106557
-89.486471,244,5.380276
-171.510315,181,5.595328
-81.152683,196,5.813158
-227.791519,154,5.994092
-122.851167,592,6.702342
-142.291769,203,6.937321
-69.177293,134,7.098265
-282.085392,195,7.477039
-114.447403,362,8.470485
-116.443973,171,8.715647
-100.407356,116,8.877467
-90.249127,268,9.231184
-135.126513,1000,10.640174
-460.365375,153,10.955907
-423.142135,222,11.252337
-310.41017,85,11.36614
-121.838643,1000,12.700669
-90.816742,1000,14.342841
-95.051744,1000,15.668858
15.231146,1000,16.915131
-75.731852,1000,18.190639
-74.496704,1000,19.489603
-72.047816,1000,20.767172
-114.233039,1000,22.051644
-102.09976,1000,23.350782
-80.900104,1000,24.629537
-128.986647,1000,25.903533
-91.42275,1000,27.270017
-89.258439,1000,28.572998
-120.631669,1000,29.845444
-104.436808,1000,31.103488
-92.428678,1000,32.412464
-97.558626,1000,33.706939
-111.716745,1000,35.715609
-63.766557,1000,37.267476
-48.213354,1000,38.638377
-77.191666,1000,40.114474
-17.61614,1000,41.505004
-106.600783,1000,42.947469
-33.935482,1000,44.359386
-60.762749,1000,45.792246
-74.153053,1000,47.190332
-110.401492,1000,48.689674
-28.154974,1000,50.221693
4.254348,1000,51.657721
163.245826,886,52.91811
-25.63897,1000,54.311204
178.797999,698,55.345075
-77.623682,656,56.237587
107.993576,953,57.579433
3.587898,1000,58.953652
-20.353111,1000,60.316905
169.27324,663,61.254358
0.8754,394,61.772466
-7.526202,1000,63.397248
185.437313,449,64.284306
15.289658,1000,66.173818
-26.608947,1000,67.842771
