#{"t_start": 1786685198.0828266, "env_id": "LunarLander-v3"}
r,l,t
-3.442304,71,0.029451
-414.987905,88,0.053416
-130.885831,62,0.072225
-338.353129,128,0.110553
-331.297186,76,0.13178
-231.403016,106,0.156054
-84.651386,59,0.171185
-111.212243,88,0.193642
-116.280852,85,0.209258
-94.711162,112,0.23
-372.069476,74,0.243799
-414.283718,88,0.30648
-179.317911,81,0.425354
-183.97295,135,0.60946
-277.009711,97,0.742814
-167.603266,108,0.872668
-59.956437,156,1.073673
-74.073274,96,1.251488
-218.068457,124,1.397035
-290.364212,157,1.607676
-17.769826,134,1.777573
-173.580001,139,1.954244
-5.562545,124,2.123273
-198.630265,112,2.281165
-164.634987,124,2.451995
-52.549402,176,2.696714
-113.247614,133,2.882266
-352.004798,125,3.048346
-102.491675,185,3.284292
-42.296989,227,3.601472
-184.004995,90,3.721218
-96.470344,116,3.882779
-133.225084,174,4.123007
-80.139273,159,4.341482
-232.551967,182,4.60304
-115.059487,93,4.726801
-91.018936,207,5.013216
-84.002875,97,5.150737
-124.52121,270,5.596287
-75.261647,306,6.078064
17.52671,242,6.471745
-103.15543,166,6.736798
-77.929291,384,7.353836
-63.038402,208,7.703335
-50.557761,569,8.622374
-32.002336,154,8.847739
-36.133113,1000,10.572238
-149.149228,1000,12.267083
-107.372808,1000,13.959065
-129.99733,1000,15.950628
-101.158453,1000,17.63381
-147.167096,1000,19.218204
-127.997656,1000,20.802512
-162.890962,1000,22.420514
-150.172845,1000,24.148473
-16.664294,1000,25.791851
-165.437631,1000,27.39214
-95.873829,1000,28.984948
-179.622129,1000,30.551536
-104.747562,1000,32.125743
-105.156486,1000,33.769352
-156.944981,1000,35.476309
-170.421161,1000,37.085344
-117.640549,1000,38.704228
-140.470442,1000,40.301271
-49.705202,1000,41.907875
-145.917324,1000,43.556556
-179.254693,1000,45.141368
-188.818281,1000,46.75301
-166.086301,1000,48.380183
-135.277852,1000,49.995669
-139.784108,211,50.320967
-110.396271,1000,51.922597
-132.458112,217,52.262162
-21.417108,1000,53.879439
-37.069513,1000,55.479421
-184.388045,753,56.733665
-29.430072,668,57.837161
56.679647,811,59.144394
155.918881,511,59.99794
175.11165,892,61.483102
84.214628,1000,63.248872
-8.641441,326,63.847327
149.678122,518,64.70635
-83.068655,167,64.982008
-146.578974,331,65.518949
-123.329422,204,65.843831
-1.759536,309,66.35075
-105.573032,183,66.661266
-107.502095,144,66.889943
129.011967,1000,68.591484
-122.988191,280,69.056215
91.191932,1000,70.847954
79.567222,1000,72.318087
247.211911,418,72.933307
-68.043445,345,73.522441
-24.717267,305,74.009511
-28.538234,289,74.458565
97.249795,1000,76.083868
60.289711,1000,77.747677
233.236537,708,78.969886
