#{"t_start": 1786684574.0016222, "env_id": "LunarLander-v3"}
r,l,t
-3.442304,71,0.09233
-414.987905,88,0.117637
-130.885831,62,0.138907
-338.353129,128,0.168526
-331.297186,76,0.188596
-231.403016,106,0.212515
-84.651386,59,0.225765
-111.212243,88,0.248789
-116.280852,85,0.26838
-94.711162,112,0.299154
-372.069476,74,0.314827
-414.283718,88,0.411469
-119.133161,79,0.572412
-214.267469,114,0.804401
-103.806316,110,0.997343
-113.412607,98,1.274525
-90.28903,134,1.520614
-333.923693,85,1.654743
-445.83594,125,1.846036
-299.524749,113,1.991449
-403.82266,172,2.206017
-121.018277,75,2.332541
-245.88803,152,2.585837
-260.404949,108,2.747217
-199.822567,110,2.894975
-252.900942,97,3.034319
-322.808823,125,3.233518
-103.995895,84,3.34989
-782.247963,215,3.63797
-320.732097,89,3.758395
-209.326015,93,3.877592
-199.516204,224,4.168456
-159.495643,151,4.364663
-150.811184,122,4.556265
-90.220208,114,4.726963
-144.345429,127,4.976242
25.110272,124,5.21949
-196.772364,136,5.452741
-206.986907,115,5.641644
-356.987463,151,5.837875
-264.331767,109,5.974702
-105.400503,143,6.146141
-209.603029,126,6.301479
-116.878969,86,6.413256
-101.343155,82,6.508394
-110.78138,226,6.744274
-277.208312,191,6.946757
-90.259942,279,7.26434
-227.704646,185,7.47637
-126.387421,115,7.60524
-220.931878,263,7.987243
-191.078581,187,8.213039
-70.541684,222,8.477682
-50.092937,1000,9.908028
-294.144987,429,10.640106
-238.988391,288,11.08042
39.562475,207,11.411512
-69.576853,283,11.868143
-349.729477,222,12.166244
-191.802876,136,12.406306
-283.435725,246,13.128268
-138.232091,200,13.543646
-261.215853,178,13.805609
-93.923422,148,14.015656
-379.446884,97,14.15022
-553.390845,315,14.601398
-429.162221,158,14.812952
-179.679601,1000,16.592629
-356.086116,157,16.836712
-262.265008,182,17.122098
-482.134459,249,17.700274
-295.718023,528,18.569452
-329.353326,474,19.442538
-143.067442,218,19.758209
-22.675317,180,19.997402
-202.744145,160,20.209128
-113.790454,107,20.344686
-190.587895,288,20.763415
-246.901485,154,21.011679
-281.8528,160,21.27135
-177.3692,236,21.592241
-61.655569,201,21.94207
-307.514706,330,22.669019
-322.466339,214,23.017929
-207.715991,292,23.494756
3.092473,275,23.900763
-44.924779,267,24.250637
13.579253,263,24.584081
-53.730171,389,25.259614
157.059132,609,26.113978
187.828014,512,26.936772
157.483303,422,27.562601
-30.243671,484,28.431378
165.718648,1000,29.828843
-102.688002,1000,32.620832
-126.171827,1000,34.906241
-104.215635,1000,37.211193
-96.544904,1000,39.433443
-87.41919,1000,41.156002
-193.239422,826,42.195599
-168.086738,702,43.08793
-123.278286,1000,44.365914
-115.003102,1000,45.601688
-89.552574,414,46.126445
-181.350227,816,47.177289
-131.407684,661,48.141759
-84.60004,1000,49.372546
-102.651689,1000,50.591032
-149.826338,771,51.616539
24.590508,993,52.965533
-12.99591,1000,54.443779
-123.082894,665,55.373512
-92.023676,329,55.820403
-206.860282,720,56.786084
-194.546336,591,57.593371
151.518632,918,58.918194
-130.852662,790,60.06395
-137.145494,638,61.662941
-114.985858,371,62.319479
-144.89206,574,63.273999
-109.076657,501,64.06867
-107.766745,391,64.666656
49.702074,1000,66.166117
-117.779955,460,66.865006
-188.819287,770,68.153798
-110.236696,527,69.01895
-101.368308,464,69.769664
-72.704401,188,70.096686
-109.847376,703,71.284761
-79.020351,221,71.678949
-136.94773,391,72.292461
-93.728332,322,72.857913
-142.96553,512,73.675211
143.445009,771,74.918238
-97.090536,213,75.192198
-104.406202,252,75.507099
-98.103372,141,75.6963
-117.175527,334,76.129406
-95.398764,144,76.314596
-76.94176,189,76.546958
-100.72129,135,76.725794
