#{"t_start": 1786225090.6354976, "env_id": "LunarLander-v3"}
r,l,t
-351.158977,123,0.045192
-131.249228,91,0.069564
-207.867674,68,0.087727
-28.939202,100,0.111787
-165.300501,102,0.132011
-402.625129,96,0.156783
-157.741211,85,0.17922
-229.135721,81,0.195815
-119.822411,103,0.219377
-428.380855,88,0.235972
-248.309272,92,0.295542
-373.863151,115,0.464239
-292.023596,99,0.619556
-106.501906,68,0.717119
-2.771888,100,0.854757
-80.061311,128,1.014251
-206.293225,95,1.144331
-90.009401,116,1.28705
-96.755252,94,1.397958
-78.156113,78,1.499746
-223.508645,128,1.663289
-34.987369,77,1.757726
-168.228607,106,1.883895
-141.430233,117,2.02002
-107.591349,125,2.175836
-87.410371,152,2.369667
-58.676433,113,2.492278
-69.164247,87,2.592993
-110.499068,157,2.801664
-300.15697,115,2.942472
2.610971,94,3.061752
-104.682628,96,3.187023
-114.856358,91,3.291873
-108.614419,207,3.540523
-196.205419,133,3.713146
-63.115987,101,3.841687
-33.942125,175,4.07251
-383.986498,145,4.277883
-112.403023,121,4.433835
-37.742573,187,4.687809
-72.361718,77,4.78498
-104.016587,172,5.010813
-103.30111,151,5.215597
-61.497322,140,5.398036
-118.350084,118,5.551843
-213.00251,122,5.727937
-163.696631,165,5.943419
-56.31502,114,6.086254
-57.781415,220,6.389347
28.135539,178,6.632486
4.222644,163,6.872201
-50.976749,158,7.077301
-99.199237,283,7.465926
-34.100617,1000,9.210199
42.110458,177,9.56531
-98.391775,1000,11.32708
-35.655028,1000,13.645034
-27.251786,1000,15.693408
-121.482197,1000,17.333752
-75.445911,1000,19.245906
-120.981016,1000,21.079725
-101.572382,1000,22.587648
-118.653881,1000,24.112266
-112.923818,1000,25.596481
-137.702526,1000,27.081621
-80.134715,1000,28.564873
-122.54564,1000,30.123134
-146.743793,1000,31.603452
-82.116778,1000,33.10229
-113.807684,1000,34.820735
-103.407498,1000,36.472
-113.26241,1000,37.933511
-119.80037,212,38.270155
-101.301299,177,38.566733
-110.755806,1000,40.140153
-75.750837,1000,41.582213
-142.951088,291,42.026925
-25.225509,1000,43.521897
-206.977583,719,44.622005
-56.946765,1000,46.180176
38.079627,951,47.599669
-41.555498,1000,49.090531
-33.2142,1000,50.599724
-16.365385,1000,52.042785
-27.414989,1000,53.495808
-9.015693,1000,54.929633
0.052778,1000,56.396425
3.485174,1000,57.824951
-45.688937,1000,59.27495
-77.948206,1000,60.753801
-62.446844,1000,62.26386
-99.39137,134,62.442831
-104.08527,144,62.649594
-25.768314,1000,64.068005
-27.796406,1000,65.5385
-8.003309,1000,67.033538
-87.609823,128,67.246871
-48.414285,1000,68.781404
20.690314,1000,70.317444
-13.596753,1000,71.836996
-113.880218,169,72.084357
-127.036986,124,72.285761
-15.129064,1000,73.75456
0.967442,1000,75.249903
