#{"t_start": 1786688825.4808562, "env_id": "LunarLander-v3"}
r,l,t
-3.442304,71,0.031242
-414.987905,88,0.081654
-130.885831,62,0.115556
-338.353129,128,0.176287
-331.297186,76,0.195688
-231.403016,106,0.217646
-84.651386,59,0.22954
-111.212243,88,0.247654
-116.280852,85,0.264061
-94.711162,112,0.284047
-372.069476,74,0.297664
-414.283718,88,0.359629
-34.287205,96,0.469748
-166.406269,114,0.599247
-265.434291,94,0.709206
-31.288858,163,0.902102
-102.105934,157,1.089543
-214.77053,110,1.217769
-49.367051,117,1.355279
-418.443344,82,1.455503
-174.802993,118,1.596802
-270.619761,77,1.68574
-115.389666,158,1.866321
-31.798049,152,2.037702
-308.594524,166,2.24707
-124.61503,157,2.441252
-232.25507,126,2.595772
-280.08782,98,2.714733
-89.577556,129,2.873879
-292.089573,523,3.511389
-182.664441,119,3.736716
-86.178261,117,3.881142
-76.45208,161,4.174685
-199.125393,132,4.530313
-303.080612,193,5.171878
-101.734434,96,5.333193
-199.054215,160,5.520532
-90.057104,302,5.927993
-166.684841,256,6.279586
-468.10436,180,6.516684
-221.115389,199,6.796941
-63.694436,311,7.224424
-194.293632,224,7.802396
-46.787443,193,8.115155
-204.359902,181,8.362926
86.814807,944,9.494966
-87.968354,439,10.156232
-349.820235,872,11.518944
-287.301077,220,11.785691
-393.763962,664,12.706075
-122.014921,1000,13.962793
-123.798859,1000,15.241656
-64.313955,176,15.454217
-507.792585,213,15.717209
-465.458435,159,15.930205
-310.637693,149,16.113377
114.356932,849,17.198828
-162.360286,1000,18.454863
-152.353019,357,18.925659
-145.179525,1000,20.359765
-64.889889,1000,21.70874
-125.294787,1000,22.975443
-45.28393,1000,24.18923
-46.380056,1000,25.41289
-105.06186,1000,26.632204
-85.822542,1000,27.843467
-30.252157,1000,29.090356
-7.10581,1000,30.394173
-29.84833,1000,31.675801
-104.376346,1000,33.010337
-95.99539,1000,34.257654
-140.14038,800,35.253953
-95.250724,1000,36.493939
-57.743482,1000,37.713663
-128.80076,1000,38.955986
-112.481785,1000,40.188239
-82.684429,1000,41.378001
-47.104213,1000,42.618127
-110.126371,1000,43.856776
-109.989181,1000,45.080534
-133.072465,1000,46.323995
-105.649919,1000,47.559876
-30.042707,1000,48.841593
-123.117769,1000,50.079142
-83.700035,1000,51.325003
-92.556086,1000,52.586835
-86.506385,1000,53.902582
-143.113217,1000,55.155296
-67.348312,1000,56.987116
-59.982185,1000,58.58415
-122.462791,396,59.19554
-120.861217,1000,60.671602
-249.833006,1000,61.972541
-38.348355,1000,63.234802
-154.961955,578,63.915956
