#{"t_start": 1786229626.4337106, "env_id": "LunarLander-v3"}
r,l,t
-92.469357,67,0.101588
-78.769102,70,0.182873
-176.395007,93,0.307621
-91.743915,73,0.400902
-161.718177,112,0.54263
-185.481484,128,0.717804
-147.091569,99,0.84465
-173.394922,65,0.911381
-121.670598,118,1.057085
-545.526249,98,1.161188
-140.869016,67,1.226506
-128.072242,89,1.761337
-97.539578,79,1.844768
-167.462972,64,1.923723
-87.106837,74,2.005606
-89.403487,76,2.107796
-145.791808,70,2.206022
-372.265465,93,2.327745
-60.401535,142,2.503836
-384.311915,134,2.763974
-278.751395,114,2.931607
-220.0272,88,3.064104
-298.870771,98,3.779881
-302.920753,87,3.889951
-149.932409,65,3.961805
-112.574954,72,4.055171
-128.467401,104,4.178116
-190.735151,89,4.284523
-376.32021,115,4.417935
-99.209851,96,4.554621
-98.317836,89,4.672853
-52.151578,152,4.886721
-59.620295,80,5.008497
-69.069834,75,5.799007
-135.849628,115,5.958145
-117.181385,90,6.064863
-227.054402,146,6.235213
-296.449261,87,6.344881
-132.166699,89,6.450892
-194.961866,120,6.615082
-82.47475,65,6.694679
-134.348965,109,6.83596
-75.295758,76,6.926676
-91.585802,117,7.739628
-137.286464,131,8.009017
-216.63017,146,8.58268
-226.253642,140,9.107692
-104.271575,66,9.259282
-82.954289,79,9.408868
-284.328558,137,9.688665
-128.98763,109,9.870278
-229.945306,121,10.080796
-140.970064,92,10.787948
-59.604379,114,10.934122
-68.337188,74,11.030677
-93.240925,98,11.151554
-19.617002,106,11.297479
-190.507391,96,11.432755
-124.01695,107,11.583438
-166.180903,85,11.686213
-281.174601,133,11.87474
3.445748,97,11.989616
-73.49843,88,12.622517
-190.91816,131,12.793232
-114.846588,194,13.030922
-201.080397,95,13.152456
-323.213991,352,13.56283
-88.885065,128,13.699952
-225.338587,141,14.328054
-76.75064,131,14.484568
-219.089476,88,14.590482
-128.735236,165,14.900872
-86.469114,102,15.081709
-52.465885,82,15.206594
-245.634439,176,15.408481
-106.782661,79,15.500749
-128.478269,95,15.597071
-133.306477,122,16.202828
-396.795856,126,16.342893
-142.400838,146,16.50297
-103.316662,99,16.6127
-86.443373,83,16.69327
-49.746215,119,16.833758
-77.170948,83,16.929121
-252.319295,161,17.096777
-101.621749,159,17.969113
-364.288015,150,18.200438
-77.647875,99,18.326328
-259.892532,115,18.462076
5.192672,93,18.57134
-342.774058,145,18.728618
-127.081626,92,18.831175
-224.321701,148,18.985255
-100.988819,193,19.654435
-218.771821,171,19.837827
-81.691472,164,20.002616
-65.048343,95,20.106854
-52.051966,126,20.254391
-219.041139,102,20.37204
-301.30471,206,20.612855
-126.711135,131,20.856264
-184.61533,109,21.646281
-278.257979,170,21.850823
-304.120394,164,22.040011
-329.375641,210,22.277574
-148.783765,120,22.407082
-177.14601,101,22.529475
-169.952789,170,23.236213
-273.689526,169,23.446313
-349.816186,187,23.718394
-100.810525,230,24.245153
-34.479016,134,24.449516
-294.609349,226,24.736458
-344.6033,199,25.492037
-211.257389,240,25.755844
-182.626942,114,25.877734
-139.131704,142,26.054083
-177.348967,157,26.22824
-171.249333,186,26.459664
-256.334131,119,27.352679
-224.567596,140,27.543992
29.649237,112,27.707375
-101.705153,144,27.90203
-136.672143,137,28.068898
-265.073615,167,28.317715
-107.001416,164,28.565577
-208.02177,116,29.283844
-264.980962,139,29.489136
-131.984429,128,29.728723
-221.728723,97,30.098275
-22.992971,143,30.474639
-181.73306,186,30.896188
-145.271735,183,31.250164
-80.238934,247,32.175546
-184.01994,122,32.34375
-276.601464,188,32.700662
33.840101,130,33.064839
-171.360474,147,33.386485
-43.589764,219,33.724817
-169.113814,297,34.763178
-123.631087,216,35.054617
-233.5028,197,35.332763
-18.289644,169,35.55808
-37.153215,170,35.780649
-119.195145,158,36.621351
-201.437378,155,36.849023
-59.086415,117,37.032805
-27.827378,226,37.321939
-34.648216,113,37.491131
-274.643213,224,37.898803
-174.940752,299,38.731541
-146.213922,209,39.136391
-345.314233,231,39.466989
65.247254,1000,41.026818
-37.693179,152,41.186515
-25.423963,127,41.313924
-165.969712,261,42.476833
7.57457,1000,44.01813
-137.86225,175,44.200015
-19.413653,109,44.315544
40.26331,123,44.466738
-95.413917,195,44.680366
-27.708555,144,44.837766
41.476222,1000,46.321337
-148.407198,440,47.206627
-135.288542,179,47.37928
-196.040038,184,47.570658
-25.769418,154,47.722538
-8.196296,124,47.845562
-0.951001,134,47.988153
-51.011862,145,48.680188
-112.163423,222,48.911021
-82.280453,201,49.106876
-12.485152,178,49.293664
-131.3379,198,49.502844
-98.03369,178,50.137695
0.364414,141,50.273052
-204.60032,253,50.535856
9.09681,278,50.80427
-1.67822,136,50.946238
-68.053722,108,51.047431
-172.311435,279,51.757823
-41.127889,101,51.863941
-52.667663,203,52.070078
-141.917859,238,52.299664
-251.502503,273,53.031529
-9.517919,180,53.221274
-11.203829,267,53.478029
-52.783951,128,53.601852
-25.153036,138,53.73981
-157.376172,245,53.995541
-178.70739,214,54.669442
-111.426462,225,54.898502
-62.586463,166,55.064513
138.903444,1000,56.538409
-50.995065,178,56.722015
-202.266779,183,56.90317
26.761598,257,57.626247
-74.94956,191,57.824379
82.149103,1000,59.332258
-213.112158,321,59.645271
-40.680246,123,59.763762
4.617266,395,60.62411
-46.911489,241,60.876397
-28.541982,227,61.108944
-27.758553,261,61.370347
-44.402594,230,62.070407
-48.382821,418,62.514856
-22.699629,346,62.857809
-146.75041,259,63.577205
-154.877392,336,63.910932
107.881617,1000,65.433414
-89.670944,211,65.645995
-57.851797,245,65.878536
68.763514,1000,67.369795
-66.661406,368,68.2133
-75.070941,352,68.562594
113.457538,841,69.921947
-47.960211,405,70.340788
-1.429231,210,70.544944
-126.402508,305,71.302025
14.9739,1000,72.797551
-267.916265,313,73.103026
-77.570001,487,73.610558
26.021191,1000,75.097754
50.740722,1000,76.577672
40.431598,1000,78.059709
-0.001204,1000,79.518344
-17.601941,1000,80.965415
46.761964,1000,82.413098
93.565122,1000,83.876976
