#{"t_start": 1786692110.455176, "env_id": "LunarLander-v3"}
r,l,t
-424.470997,108,0.227089
-87.205998,119,0.388482
-124.427315,85,0.490139
-126.323966,80,0.584897
-113.142891,105,0.700805
-319.267337,114,0.814587
-120.03837,96,0.92311
-53.017653,115,1.034777
-114.734216,100,1.135791
-198.106967,77,1.213927
-91.054889,71,2.066361
-231.0213,86,2.153181
-125.967848,67,2.216743
-93.74587,70,2.297543
-268.504777,97,2.396011
-88.851797,80,2.485628
-128.299528,72,2.6027
-394.363646,90,2.734231
-203.962033,97,2.852718
-87.258407,89,2.961221
-119.890201,63,3.162351
-71.452071,117,3.374753
-151.928493,85,4.653091
-341.553354,71,4.722429
-111.27099,68,4.796746
-98.039091,98,4.89239
-149.845818,103,4.993677
-99.840378,89,5.093558
-273.127944,124,5.21823
-321.730558,92,5.323219
-229.700181,99,5.4218
-116.775128,89,5.504091
-281.859839,119,5.626767
-2.492699,90,6.747514
-130.186822,112,6.86695
-133.019606,80,6.948629
-122.602095,60,7.007696
-253.205259,92,7.095964
-219.055271,98,7.197098
-132.02577,67,7.264073
-91.318761,83,7.343064
-195.009716,108,7.455929
-181.013177,103,7.558264
-297.916414,105,7.661064
-204.293917,88,8.732087
-91.339193,64,8.791528
-243.911855,127,8.922476
-86.011482,64,8.984607
-95.247404,85,9.06202
-105.914275,62,9.123168
-143.7435,81,9.204157
-108.9824,96,9.294475
6.032985,102,9.383462
-201.567229,122,9.495358
-145.902654,125,9.61694
-152.353863,90,10.481082
-118.590708,87,10.563575
-116.922534,85,10.646129
-84.675908,73,10.713227
-132.515571,67,10.77133
-72.229835,83,10.849683
-207.871905,144,10.99579
-161.739455,106,11.103455
-88.917591,116,11.205999
-213.219608,79,11.279259
-456.5726,113,11.381694
-69.989818,82,12.231138
-126.814198,103,12.33378
8.843031,93,12.440654
-196.012531,88,12.539814
-80.977518,65,12.604216
-238.675071,104,12.710477
-218.613184,73,12.782251
-191.390707,87,12.86249
-35.718274,129,12.999197
-49.677151,145,13.135144
-102.974536,101,13.230011
-92.907283,62,14.16165
-79.609137,68,14.23386
-244.992636,129,14.367343
-111.37293,149,14.528275
-322.743665,97,14.634954
-209.748653,113,14.754721
-162.18492,99,14.86391
-110.774767,155,15.035655
-215.630734,96,15.144728
-110.879061,128,16.181543
-285.867099,218,16.43161
-185.595017,102,16.633058
-107.368156,86,16.735907
-230.362552,182,16.928464
-218.181171,197,17.15751
-100.57175,142,17.394161
-76.806432,135,18.400496
-181.821051,155,18.567378
-63.273607,111,18.681521
-118.827275,97,18.786585
-81.470101,155,18.94803
-163.552538,123,19.079755
-172.407839,139,19.228717
-46.266889,138,19.371814
-177.548754,149,20.392715
-102.925723,99,20.517607
-40.221858,105,20.621665
-50.854585,114,20.743582
-74.437934,154,20.904193
-74.396976,90,20.994821
-36.764311,142,21.140636
-61.072912,137,21.284995
-26.444732,131,22.386086
-3.386368,166,22.565759
-105.893781,105,22.677473
-109.381503,133,22.825368
-29.735737,143,23.013125
-97.335389,156,23.194399
-200.073453,143,23.357738
-18.298068,97,24.310131
-48.989937,122,24.432149
-90.793543,90,24.526398
-159.827745,202,24.727665
-73.760949,165,24.899869
-30.285655,130,25.043158
-15.396988,199,25.251098
-178.538392,152,26.239072
44.813859,117,26.357886
64.798221,1000,28.414685
-98.130416,244,28.680534
-237.257074,178,28.862112
-96.549686,184,29.04903
-123.104197,101,29.149814
-249.004126,157,29.306894
-93.479823,211,30.397495
-35.231477,320,30.7284
38.515736,161,30.910091
-72.976594,124,31.038332
-92.351176,138,31.183724
-73.655815,186,32.208204
-102.010101,209,32.417374
-208.909541,273,32.697372
-129.350771,172,32.879948
-8.258856,127,33.012666
-193.43322,209,34.12237
-81.402813,176,34.305481
