#{"t_start": 1786693792.4058397, "env_id": "LunarLander-v3"}
r,l,t
-92.469357,67,0.139334
-78.769102,70,0.248387
-176.395007,93,0.36027
-91.743915,73,0.437195
-161.718177,112,0.56777
-185.481484,128,0.708793
-147.091569,99,0.824883
-173.394922,65,0.901737
-121.670598,118,1.04178
-545.526249,98,1.145794
-140.869016,67,1.217471
-128.072242,89,2.264438
-97.539578,79,2.36255
-165.098265,70,2.446952
-388.891759,133,2.678895
-158.082237,98,2.846321
-385.269033,92,2.972001
-255.998368,114,3.252803
-156.860912,105,3.436324
-141.611649,95,3.638725
-179.158574,124,3.938613
-277.544434,73,5.188344
-155.81019,112,5.320714
-233.130157,89,5.437781
-58.103679,105,5.547489
-186.712462,83,5.645452
-223.559481,122,5.775727
-179.284281,93,5.877912
-196.038325,91,5.979497
-120.707264,123,6.151858
-251.307983,88,6.260436
-330.635222,127,7.621403
-481.153918,107,7.733388
-437.555596,85,7.830257
-321.564533,120,8.067107
-393.579353,83,8.180508
-39.234588,81,8.26928
-405.3042,120,8.404112
-352.716891,99,8.628786
-152.330183,72,8.715001
-69.727451,79,8.799786
-83.974475,79,8.889408
-141.084145,120,10.195516
-62.100669,69,10.272688
-101.540202,105,10.384135
-246.291477,128,10.524366
-83.98561,84,10.618931
-129.46189,83,10.709823
-85.688106,86,10.801125
-109.212562,86,10.88706
-372.017166,95,10.993239
-136.977576,84,11.094971
-281.750724,85,11.193731
-76.42624,74,11.269392
-202.622865,101,12.212123
-397.43789,95,12.308395
-107.911656,88,12.412173
-66.57204,89,12.518398
-91.99164,104,12.620085
-45.80466,97,12.717475
-388.581906,103,12.832418
-184.29891,85,12.925697
-177.144949,128,13.060362
-352.51626,96,13.164471
-206.216303,84,14.133142
-138.001525,98,14.23699
-317.344009,74,14.320831
-111.579695,78,14.403484
-133.08155,85,14.48996
-91.663102,96,14.584682
-267.309955,78,14.664623
-77.553747,95,14.765818
-78.705683,86,14.851738
-133.739018,70,14.927189
-50.987492,72,15.019161
-319.109521,107,15.128997
-207.436563,91,16.112934
-131.847863,103,16.224625
-382.9324,83,16.314561
-349.008139,103,16.42362
-198.591195,117,16.545364
-145.843485,101,16.656803
-111.363159,73,16.736259
-61.439284,98,16.836943
-122.313423,101,16.946645
-91.013043,76,17.036541
-165.691698,105,17.150993
-52.217598,135,18.20938
-74.236558,71,18.284428
-66.270822,90,18.376808
-53.753972,77,18.463289
-15.438989,115,18.580076
-76.512247,78,18.663675
-20.432626,75,18.743493
