#{"t_start": 1786691006.032828, "env_id": "LunarLander-v3"}
r,l,t
-424.470997,108,0.197642
-87.205998,119,0.369079
-124.427315,85,0.473486
-126.323966,80,0.554197
-113.142891,105,0.669894
-319.267337,114,0.795505
-120.03837,96,0.90899
-53.017653,115,1.128474
-114.734216,100,1.256617
-198.106967,77,1.359691
-91.054889,71,2.37448
-231.0213,86,2.487514
-125.967848,67,2.574633
-93.74587,70,2.700255
-268.504777,97,2.910949
-88.851797,80,3.090785
-128.299528,72,3.355067
-376.83434,90,3.598758
-203.962033,97,3.904018
-87.258407,89,4.118327
-136.325706,64,4.256796
-475.50577,112,4.404328
-95.915269,66,5.407798
-120.334945,77,5.489209
-214.843535,77,5.568671
-268.383298,88,5.657481
-275.294505,82,5.761193
-183.08907,114,5.905363
-110.335239,87,5.996316
-129.265184,59,6.077078
-247.00099,98,6.206163
-200.646577,114,6.34478
-100.925095,99,6.458217
-204.591506,69,6.533883
-138.297983,68,7.482961
-100.896297,105,7.596566
-226.363784,97,7.708054
-102.772003,76,7.800432
-68.215384,98,7.908769
-159.782846,76,8.033778
-129.012798,85,8.287735
-84.714885,78,8.385163
-404.388068,111,8.514914
-91.293106,68,8.591811
-94.948321,91,8.71668
-73.171487,81,8.814637
-108.894966,87,9.783477
-114.010276,109,9.900164
-45.666609,65,9.976217
-125.158483,99,10.091565
-270.357066,89,10.183672
-116.946848,89,10.270591
-125.071203,102,10.397735
-98.821029,73,10.487273
-141.593645,95,10.625104
-261.491562,108,10.746584
-40.381654,106,10.864265
-109.5034,108,11.909555
-45.542296,61,11.985314
-133.885635,59,12.050073
-110.035254,62,12.112165
11.13521,80,12.205233
-87.734731,104,12.323376
-197.484351,107,12.440655
-298.203804,119,12.575775
-100.3661,82,12.670602
-108.060538,63,12.737787
-81.874829,75,12.817897
-98.861517,62,12.884272
-107.377789,69,12.958198
-279.084696,108,14.522452
-193.157143,72,14.610118
-129.878496,68,14.687078
-100.593691,124,14.961645
-116.488133,98,15.075673
-386.439319,84,15.208476
-174.232123,91,15.322108
-68.271995,67,15.397421
-219.502951,82,15.499441
-88.530497,67,15.567903
-242.234433,98,15.67273
-132.360144,111,17.062145
-155.336468,91,17.167488
-103.909557,100,17.301477
-260.345639,94,17.398702
-97.659501,66,17.467888
-97.934795,100,17.570171
-104.172061,94,17.673553
-106.574333,134,17.822425
-82.057248,77,17.915108
-88.593152,78,18.000381
-109.570437,90,18.107172
-13.37854,180,19.194977
-79.155949,114,19.323313
-67.973898,64,19.402513
-103.609507,95,19.505215
-115.846251,77,19.60124
-291.684325,95,19.727951
-113.437352,69,19.803715
-80.958052,76,19.966696
-138.64571,91,20.067999
-115.492465,133,20.214371
-118.879769,78,20.302053
-61.125164,66,21.282273
12.943555,137,21.429211
-28.529331,122,21.561343
-151.374649,93,21.66625
-82.483071,116,21.78328
-233.585777,104,21.899835
-16.756301,113,22.030796
-76.58247,94,22.132633
-92.953774,124,22.258498
-68.13828,87,23.313977
-51.955367,140,23.459336
-64.534594,67,23.527463
-46.647368,61,23.589173
-48.327258,89,23.678901
-21.334109,102,23.778097
-115.876222,91,23.871159
-67.711721,92,23.96769
-110.159601,87,24.054812
-56.526214,102,24.162947
-87.856623,75,24.246224
-117.067498,99,24.348482
-158.477759,117,25.32506
-249.980442,126,25.460338
-29.961098,68,25.530302
-101.563423,77,25.611403
-92.944155,110,25.724127
-15.115714,99,25.829868
-40.293137,129,25.963126
-250.018573,94,26.06329
-41.950278,72,26.14904
-351.805793,131,26.286538
-89.425843,124,27.283217
-90.557091,91,27.370488
-87.108616,107,27.495213
-71.078443,83,27.57805
-64.331201,131,27.721196
-223.352846,106,27.836917
-66.567301,143,27.980578
-73.67042,80,28.063746
-92.111317,130,28.198936
16.643672,153,29.234588
-232.617197,108,29.35449
-56.176323,110,29.478182
-149.385796,137,29.614747
-63.628871,135,29.760636
-117.948124,100,29.877088
-73.313522,115,30.002215
-53.716193,73,30.090181
-62.644641,109,30.21711
-94.646067,124,31.280947
-23.711059,137,31.465319
-22.851033,93,31.548773
-160.744311,172,31.711497
-1.783112,111,31.809029
-167.885708,123,31.927502
-106.624933,128,32.038475
-59.715594,82,32.11324
-77.797826,124,33.015162
-198.699786,217,33.220819
-42.438986,131,33.349135
11.652409,116,33.452268
-71.659461,171,33.620407
-113.760006,122,33.74305
-240.383886,141,33.871072
-18.599374,153,34.759024
-209.997045,243,34.984877
-46.596188,172,35.134964
-376.685839,208,35.339975
-72.808163,171,35.519761
-3.738461,113,35.623424
1.665193,177,36.607132
-105.489083,114,36.710788
-48.527407,142,36.839911
-19.592886,149,36.988636
-125.224006,209,37.178824
-104.060539,199,37.36262
-154.626612,197,38.351652
58.172823,1000,40.108739
10.724221,128,40.234277
31.838649,141,40.356406
1.119438,147,40.499999
70.776967,1000,42.266307
-105.896192,104,42.369433
-221.617874,130,42.483591
-521.230797,203,42.666077
-182.467963,294,43.754459
-37.881638,154,43.903522
-118.168667,208,44.092068
12.42152,190,44.262561
-66.176166,173,44.430107
-14.625418,203,45.381334
-71.534266,201,45.570767
-138.886671,255,45.808238
96.373567,1000,47.576826
-203.706703,128,47.701815
-72.566174,187,47.883339
-77.153815,219,48.844088
-108.185248,167,49.009706
-114.041401,189,49.182508
-16.327502,148,49.321914
-10.862955,138,49.457688
-198.180525,203,49.678263
-39.136661,141,50.663445
-279.627644,183,50.844135
55.004982,177,51.029751
-60.922502,144,51.166248
-46.229067,157,51.336527
-17.463281,194,51.520334
3.995353,144,51.656621
-195.490298,236,52.664034
-37.229667,205,52.851535
17.791416,1000,54.586463
-74.323502,191,54.767988
-89.004976,197,54.966646
-5.435494,201,55.155931
49.277788,1000,56.928706
-34.260471,277,57.974475
-286.527967,211,58.188779
-80.940585,165,58.344262
-38.318947,145,58.486333
2.334991,152,58.63197
-205.403614,153,59.55972
-24.8069,340,59.877164
-61.940393,215,60.085461
-167.079262,137,60.222085
-161.952476,188,60.413823
-57.997755,199,61.404393
114.893779,1000,63.166822
-92.472053,289,63.444277
-139.668423,202,63.626577
-174.054651,166,63.799027
34.821904,192,64.039822
125.891921,1000,65.773329
-2.414764,142,65.915153
-39.423595,253,66.922313
-17.025213,214,67.124459
-224.211515,189,67.29712
-200.932015,235,67.529537
141.612415,1000,69.271972
-15.112522,262,70.309525
-70.193178,319,70.599868
21.552257,220,70.810559
-150.855794,281,71.070753
-61.968404,345,72.227832
-6.720627,156,72.375961
-85.086355,198,72.565024
-147.134632,172,72.783948
-12.096713,248,73.023435
-13.28058,156,73.92697
-35.929671,189,74.12291
-101.044466,192,74.298392
30.878304,222,74.520048
-52.619822,250,74.763001
-132.801582,232,75.806548
-86.487676,181,75.971552
-78.72242,214,76.188662
26.141244,225,76.405893
167.805405,456,77.65812
-37.208692,346,77.995916
-9.218918,321,78.30236
-380.192875,173,79.225067
-107.456505,369,79.569808
-63.345886,259,79.821329
-73.254782,249,80.071243
22.271743,201,81.040096
-65.634463,222,81.28904
-10.449748,268,81.541467
-68.797417,313,81.821892
-50.544789,480,83.154442
-146.95878,373,83.515169
-69.502565,240,83.739817
-8.313135,241,84.724958
-206.614935,192,84.893603
-53.563185,355,85.231597
-151.288704,376,86.347657
-157.603836,389,86.699751
-191.309464,208,86.912831
-49.121494,249,87.157718
49.403163,199,88.086589
-52.728932,288,88.354625
-45.090585,250,88.59049
3.044987,195,88.786743
-183.145728,204,89.750938
-65.053559,249,89.991924
-121.178664,567,90.547879
-165.600135,399,91.720484
-23.676572,242,91.951149
-120.270204,299,92.230939
