#{"t_start": 1786225908.8138833, "env_id": "LunarLander-v3"}
r,l,t
-92.469357,67,0.109864
-78.769102,70,0.202252
-176.395007,93,0.329701
-91.743915,73,0.434623
-161.718177,112,0.573248
-185.481484,128,0.742784
-147.091569,99,0.857065
-173.394922,65,0.932738
-121.670598,118,1.0727
-545.526249,98,1.187268
-140.869016,67,1.262622
-128.072242,89,2.27203
-78.143372,81,2.371341
-420.478394,131,2.57479
-144.625141,134,2.921023
-263.548514,118,3.109165
-84.930126,141,3.327416
-105.693455,99,3.467084
-441.973666,102,3.599785
-315.726724,92,3.720194
-267.936931,95,4.86624
-102.202883,107,5.022257
-86.93554,72,5.123412
-641.70447,119,5.307597
-138.811563,92,5.44837
36.499662,90,5.594093
-145.145918,137,5.79327
-136.942369,112,5.96397
-242.172965,92,6.083155
-77.382077,104,6.195034
-26.610075,105,7.185059
-78.338429,86,7.285936
-120.652153,88,7.396391
-124.953266,129,7.580707
-131.632303,91,7.711792
-74.995245,69,7.850669
-190.624868,99,8.101063
-158.243105,102,8.30053
-11.901591,146,8.550773
-83.107007,71,8.652464
-64.535519,63,8.736202
-99.610385,172,9.980993
-218.078938,158,10.260902
-85.532097,81,10.418952
-82.71668,88,10.550704
-48.151199,68,10.635899
-24.651445,70,10.716031
-211.055489,91,10.843053
-161.129352,104,10.954526
-161.060431,70,11.025412
-223.227832,145,11.173083
-339.17747,126,12.13475
-125.668033,153,12.30527
-220.76141,95,12.408465
-234.700637,109,12.524486
-277.238082,124,12.644127
-4.006208,132,12.781358
-354.655573,136,12.921376
-475.025392,154,13.08238
-90.847486,86,14.025891
-175.650281,136,14.154748
-196.786145,99,14.259401
-76.581504,85,14.344552
-232.061998,79,14.427752
-172.31878,221,14.651273
-73.692821,71,14.728722
-111.407912,149,14.886451
-275.349184,130,15.904965
-54.799938,112,16.041204
-113.613738,143,16.196885
-124.629751,104,16.299659
-180.460556,106,16.408777
-104.089261,131,16.555183
-232.521662,140,16.701945
-138.213732,86,16.784431
-41.346746,108,16.895648
-39.532811,101,18.171722
-184.450761,130,18.400191
-193.858027,135,18.595551
-51.523676,129,18.740188
-197.157386,135,18.918628
-104.6855,96,19.030317
-64.630802,88,19.132228
-287.69604,190,19.334825
-39.002168,106,20.32266
-227.895317,156,20.505808
-230.586309,109,20.662639
-57.168568,89,20.814739
-54.012985,110,20.96783
-112.332457,151,21.16769
-68.603502,97,21.265258
-41.29991,120,21.385546
-69.517412,185,21.58698
-57.850139,133,22.519523
-29.929572,121,22.636238
-63.709914,107,22.739845
-137.614513,158,22.912956
-206.431422,142,23.059608
-22.234033,141,23.197316
-98.075624,112,23.301574
-196.863633,99,23.40529
-201.787133,170,24.378019
55.219393,176,24.556847
-214.137895,172,24.725717
-76.90641,116,24.838872
-34.548982,102,24.935217
-270.86291,198,25.147757
-32.398143,159,26.143224
-74.463503,129,26.272501
-287.10857,129,26.397174
-53.892521,150,26.546934
-117.852409,324,26.861368
-69.394058,114,26.99354
-54.578088,129,27.95165
-170.725693,184,28.141976
14.82439,148,28.287866
-15.914563,156,28.443455
-196.215377,202,28.648511
-181.746462,224,28.879378
-59.38989,416,30.173552
7.026845,244,30.426724
-38.266858,161,30.595341
-12.546121,243,30.831466
23.421662,137,31.808669
54.539649,1000,33.676652
-36.408899,146,33.822372
-3.311252,210,34.035478
-130.688472,209,34.250839
-20.657446,154,34.407854
-53.462968,145,34.547537
-39.143015,294,35.630122
-156.987361,346,35.990493
-56.986911,186,36.169385
-176.409432,352,37.342826
-93.265683,193,37.631552
-144.629255,489,38.16278
-151.827166,520,39.559588
-70.541371,230,39.848263
-34.543839,244,40.122571
61.652177,1000,42.033131
-355.51172,628,43.613194
107.192475,1000,45.527635
-243.653651,519,46.061268
-2.079405,326,47.240433
-64.390978,304,47.546535
-50.708935,320,47.88398
-56.055701,273,48.177628
-73.103505,327,49.371127
116.200629,1000,51.240761
17.496267,427,51.678577
176.669003,775,53.334348
-171.176442,515,53.860773
212.820964,571,55.310611
-154.39912,628,56.817898
-149.640132,366,57.198854
192.038549,549,57.800242
-134.282512,561,59.220864
158.935328,642,60.732545
-53.814124,680,61.436523
-299.456057,860,63.186558
43.556021,1000,65.017948
-116.443038,315,65.320212
171.006036,891,67.044033
77.728684,970,68.799134
-87.393385,552,70.186623
-35.636648,466,70.649685
52.798394,1000,72.513865
-289.881931,886,74.188221
47.45745,1000,76.071298
226.103717,458,77.41388
249.353336,709,78.147408
227.893067,547,79.542863
-7.783124,1000,81.52495
171.039607,667,82.220917
-13.284301,1000,84.099273
-39.114274,1000,85.960629
178.863433,917,87.77299
224.660117,576,89.191846
136.035319,717,89.907038
-103.680063,838,91.631517
-50.697369,1000,93.459611
133.905217,967,95.251168
