#{"t_start": 1786694814.213423, "env_id": "LunarLander-v3"}
r,l,t
-424.470997,108,0.16373
-87.205998,119,0.31076
-124.427315,85,0.400471
-126.323966,80,0.481845
-113.142891,105,0.591544
-319.267337,114,0.770102
-120.03837,96,0.876977
-53.017653,115,0.991357
-114.734216,100,1.090398
-198.106967,77,1.167178
-101.956804,70,1.237745
-71.463261,86,1.317408
-172.467275,111,1.426862
-71.208888,67,1.504771
-174.388359,136,1.655942
-161.672962,60,1.710377
-465.165919,127,1.833679
-342.173511,108,1.943645
-256.542849,95,2.027909
-99.558825,71,2.095918
-97.113231,131,4.429901
-249.933819,72,4.510421
-134.646314,86,4.596844
-95.535846,92,4.68665
-118.969883,95,4.778836
-99.642946,91,4.879015
-141.786063,60,4.945672
35.724621,76,5.022642
-78.011117,94,5.117533
-87.878187,66,5.183216
-328.891743,100,5.284794
-302.245287,115,5.405911
-362.354731,72,5.476867
-95.063561,101,5.582594
-15.971209,96,5.668936
-155.334452,76,5.737377
-58.299752,107,5.839731
-124.978264,70,5.913645
-94.86637,88,5.993804
-94.198995,66,6.058428
-120.07806,70,6.124124
-137.737759,86,6.200438
-69.348943,131,6.348293
-194.095703,84,6.441352
-137.411854,116,8.344014
-79.726143,67,8.415233
-163.603458,124,8.535439
-205.978343,109,8.637063
-96.49897,85,8.777673
-95.723179,124,8.946367
-126.110631,58,9.014296
-150.147675,88,9.104262
-78.772276,119,9.284251
-92.431313,69,9.388189
-86.305652,66,9.454774
-126.357707,86,9.560617
-85.21215,69,9.624614
-170.621325,106,9.733513
-125.20025,114,9.854788
-271.843072,133,9.988323
-268.57387,82,10.066152
-315.232335,105,10.165183
-133.940215,80,10.257251
-173.303656,64,10.321318
-69.725325,82,10.402847
-207.259526,73,10.467342
-94.724818,103,12.239655
-119.73193,69,12.315109
5.008169,92,12.399207
-84.973629,103,12.502386
-92.7004,88,12.592013
-102.850942,127,12.705467
-202.916125,119,12.826388
-134.08197,78,12.898473
-109.813097,88,12.977571
-211.514075,131,13.095488
-185.345544,82,13.168507
-90.937065,110,13.278762
21.472507,131,13.40033
-452.821582,97,13.498838
-310.565756,108,13.598477
-116.440653,67,13.664871
-71.673215,90,13.748096
-138.803523,102,13.840481
-160.579114,96,13.923949
-107.016374,75,14.004114
-90.290794,90,14.094913
-69.202708,65,14.152569
-106.972518,64,15.847708
-114.352704,118,15.953922
-96.554846,105,16.051485
-103.814212,69,16.124067
-51.253852,78,16.193132
-36.803022,62,16.254369
-179.917091,102,16.344764
-77.668305,80,16.417592
-76.541234,78,16.491401
-69.781567,72,16.565842
-306.585109,118,16.673171
-177.081463,82,16.747061
-75.358909,85,16.826313
74.835245,1000,19.454658
-124.119343,115,19.562613
-80.235511,95,19.654206
-51.998693,65,19.712351
-64.103963,109,19.817721
-66.45335,84,19.898622
-77.896334,120,20.01073
-21.755017,78,20.095241
-55.919535,84,20.175292
-77.069376,119,20.292379
-153.887407,141,20.417815
-188.145758,108,20.518835
-97.467029,113,20.62658
12.705867,107,20.735453
-86.086026,85,20.825791
-106.082436,102,20.917921
-104.613924,69,20.983896
-1.49993,98,21.070471
25.016432,142,21.204199
-53.860316,104,21.297732
-182.338779,124,22.911997
-101.676541,92,23.002132
-49.795854,142,23.141806
-191.064368,182,23.31348
-114.703659,136,23.448441
-22.063302,75,23.516889
-172.492788,126,23.636451
-93.133044,109,23.74623
-82.409931,87,23.831233
-87.07411,80,23.902636
-107.299814,89,23.988919
-95.850155,104,24.082491
-181.80785,231,24.296378
-75.361569,83,24.377429
-54.774866,145,24.54024
-111.910264,136,24.67486
-88.118351,95,24.769475
-67.766367,90,26.370393
-44.332949,78,26.438749
-111.446614,172,26.595508
-130.439666,87,26.669895
-113.252366,110,26.773718
-81.341995,163,26.938657
-80.54308,138,27.079234
-23.199766,122,27.201555
-81.785917,90,27.280939
-72.586932,133,27.40467
-184.701427,182,27.569606
-100.275312,152,27.710272
-32.968979,120,27.815332
-157.083023,112,27.929065
-44.43225,108,28.025574
-47.265973,89,28.121583
-61.351387,142,28.265294
-22.034242,79,29.948808
-41.128911,125,30.067799
44.430478,1000,31.032999
-138.10927,123,31.151757
-36.926875,159,31.300589
-61.782334,86,31.377885
-83.734029,160,31.534558
-89.503373,98,31.627052
-51.373508,132,31.753194
-46.247076,139,33.431709
-25.990446,119,33.547677
-46.238849,144,33.692027
-46.765436,146,33.831674
-59.897478,123,33.944425
2.205114,82,34.016139
14.362616,122,34.134044
-46.359368,135,34.26842
-81.915358,166,34.432724
-30.725004,132,34.557675
-148.193975,102,34.661556
-42.27097,100,34.758414
-80.910573,127,34.897865
-44.853152,156,35.046644
-80.6309,124,35.167946
-79.273495,92,35.259421
-21.489175,149,35.410991
-54.645345,161,37.110196
-74.680243,118,37.233805
-44.040609,125,37.350954
21.305534,139,37.482445
-29.514644,120,37.603455
-198.866551,133,37.739953
-195.949845,97,37.826699
-55.017864,115,37.939663
7.372623,133,38.061223
-98.814538,150,38.203105
-54.356977,159,38.360161
-171.800463,136,38.509598
5.67763,127,38.62
-50.26673,102,38.718933
-32.906493,140,38.861058
-40.534029,132,40.512211
-161.348437,182,40.692439
-17.445419,196,40.874169
-135.296584,148,41.003865
-36.050665,177,41.166342
-113.490026,143,41.291393
90.595365,1000,42.264252
-48.796096,142,42.403859
-95.8575,174,44.108503
-133.666923,205,44.316884
-23.716544,119,44.44621
-217.193737,202,44.670523
-165.963773,207,44.892457
18.09352,123,45.024943
-194.45049,174,45.220694
-6.24783,189,45.421754
-49.539072,170,45.616204
-96.126605,103,45.731668
-109.141549,173,45.912269
6.845966,123,46.039234
-95.610914,192,47.980192
-206.394601,215,48.214209
-34.575591,176,48.39729
-20.734479,93,48.584392
-112.439769,221,48.814853
-174.492935,176,49.001707
-50.080096,215,49.219177
-135.590367,185,49.420417
-41.069588,175,49.603849
77.55779,1000,52.395327
-98.717477,172,52.574409
-6.682783,147,52.722722
26.105638,145,52.873635
-29.665342,261,53.145846
-45.571386,144,53.301052
-137.286322,180,53.498636
-2.082652,135,53.630605
-8.475621,119,53.765828
-90.186062,279,55.759288
-20.729042,144,55.903643
-71.471836,229,56.156582
11.714327,1000,57.439886
-67.183083,199,57.649005
-4.909661,151,57.808723
3.889551,169,57.993883
-172.307651,202,59.883781
