#{"t_start": 1786697519.7270303, "env_id": "LunarLander-v3"}
r,l,t
-285.25281,78,0.155283
-335.112264,103,0.304781
-292.704712,98,0.435793
-148.18105,84,0.566818
-367.739328,106,0.71827
-106.040143,106,0.855216
-85.560588,64,0.939569
-157.778917,113,1.072459
-162.537113,110,1.198173
-79.491362,67,1.345595
-36.074387,126,3.364543
-92.30414,58,3.455535
-146.204718,58,3.544617
-96.6721,70,3.647184
-98.549913,90,3.766501
40.519523,80,3.877961
-96.355958,101,4.031864
-176.326075,111,4.187138
-72.800593,77,4.294362
-183.680912,58,4.378639
-7.979325,172,4.625463
-110.96302,68,4.715692
-240.829707,63,6.615318
-158.159661,80,6.742405
-208.560535,92,6.878693
-121.58992,77,6.977688
-78.914621,66,7.058251
-98.404365,120,7.25029
-253.380094,98,7.388586
-108.454361,77,7.481218
-477.683113,101,7.606339
-279.143491,103,7.782912
-144.591649,129,8.186937
-117.406328,101,10.386328
-87.033233,61,10.455347
-160.110651,67,10.538853
-105.747919,108,10.669428
-104.408936,63,10.740193
-220.15589,91,10.836116
-134.984569,92,10.998588
-145.822635,63,11.07874
-96.690841,74,11.162606
-144.534335,123,11.306881
-85.871536,74,11.38773
-98.649964,104,11.508344
-146.541904,84,13.170959
-67.402686,98,13.331725
-124.401164,102,13.519453
-92.119954,68,13.630222
-217.151471,95,13.812219
-262.402515,119,14.055619
-146.673334,108,14.17736
-107.863127,90,14.279466
-92.651402,96,14.393702
-90.609949,77,14.482767
-61.996453,73,14.568101
-172.622688,92,16.431371
-124.516906,100,16.644792
-168.784902,122,16.826763
-60.586137,72,16.91664
-235.185098,86,17.020228
-153.461999,96,17.129835
-190.484558,144,17.292453
-200.08134,126,17.429868
-129.544002,100,17.532264
-181.441289,126,17.695872
-281.24798,164,19.854052
-23.046188,98,19.957388
-278.718005,138,20.09975
-14.646478,154,20.262949
-273.021865,120,20.385779
-89.308954,74,20.479972
-199.38954,160,20.717162
-280.113091,141,20.897441
-124.825663,118,23.0966
-92.213727,80,23.220434
-277.127984,132,23.364216
-139.280563,135,23.559941
-137.15648,101,23.804809
-101.637523,158,24.03837
-57.827261,75,24.150065
-129.883782,103,24.297711
-110.349207,109,24.440463
-160.861153,125,26.545214
-66.376429,185,26.803777
-278.094435,165,27.004887
-74.254683,116,27.149484
-224.763619,202,27.400656
-233.125723,156,27.569149
-88.217557,85,27.667473
-270.996151,119,29.582602
-68.035802,92,29.708934
-122.545531,154,30.07199
-95.416518,96,30.267067
-351.826778,125,30.42507
