run_name,algorithm,reward_case,seed,fuel_penalty,angle_penalty,velocity_penalty,mean_reward,std_reward,success_rate,crash_rate,mean_episode_length,mean_fuel_proxy,mean_abs_angle,mean_speed,model_path
reward_dqn_original_reward_seed_42,DQN,original_reward,42,0.0,0.0,0.0,93.99999887219045,136.22870674670307,0.235,0.15,509.665,302.23,0.09481246833680546,0.3270517046105057,C:\Users\Marta.Benedetti\OneDrive - ESA\Desktop\lunar_lander\models\reward_dqn_original_reward_seed_42.zip
reward_dqn_original_reward_seed_123,DQN,original_reward,123,0.0,0.0,0.0,90.15204397492427,112.71096408648697,0.27,0.045,756.03,484.595,0.06245800247754827,0.18963615528730401,C:\Users\Marta.Benedetti\OneDrive - ESA\Desktop\lunar_lander\models\reward_dqn_original_reward_seed_123.zip
reward_dqn_original_reward_seed_999,DQN,original_reward,999,0.0,0.0,0.0,90.06699449633633,137.2616163808464,0.155,0.12,670.435,590.425,0.0438393067991678,0.20082493667277476,C:\Users\Marta.Benedetti\OneDrive - ESA\Desktop\lunar_lander\models\reward_dqn_original_reward_seed_999.zip
reward_dqn_fuel_saving_seed_42,DQN,fuel_saving,42,0.03,0.0,0.0,107.11587321007254,163.5535392870748,0.21,0.105,648.935,444.7,0.11426037549514773,0.29660441854336206,C:\Users\Marta.Benedetti\OneDrive - ESA\Desktop\lunar_lander\models\reward_dqn_fuel_saving_seed_42.zip
reward_dqn_fuel_saving_seed_123,DQN,fuel_saving,123,0.03,0.0,0.0,-41.44442692134744,17.685394054370036,0.0,0.0,1000.0,641.3,0.03347885865792744,0.09448588919408009,C:\Users\Marta.Benedetti\OneDrive - ESA\Desktop\lunar_lander\models\reward_dqn_fuel_saving_seed_123.zip
reward_dqn_fuel_saving_seed_999,DQN,fuel_saving,999,0.03,0.0,0.0,-51.41970673989356,57.487842239258235,0.0,0.235,807.39,553.595,0.05018864560530899,0.26380310252142714,C:\Users\Marta.Benedetti\OneDrive - ESA\Desktop\lunar_lander\models\reward_dqn_fuel_saving_seed_999.zip
reward_dqn_attitude_stability_seed_42,DQN,attitude_stability,42,0.0,0.1,0.0,87.7316846760665,103.63873328993785,0.125,0.02,666.935,473.61,0.13245739528945483,0.3133361879853293,C:\Users\Marta.Benedetti\OneDrive - ESA\Desktop\lunar_lander\models\reward_dqn_attitude_stability_seed_42.zip
reward_dqn_attitude_stability_seed_123,DQN,attitude_stability,123,0.0,0.1,0.0,-18.923392324215214,145.12454259996426,0.055,0.38,630.66,428.14,0.21301647560262382,0.4231337471369899,C:\Users\Marta.Benedetti\OneDrive - ESA\Desktop\lunar_lander\models\reward_dqn_attitude_stability_seed_123.zip
reward_dqn_attitude_stability_seed_999,DQN,attitude_stability,999,0.0,0.1,0.0,-3.602288988689688,115.45599755555637,0.125,0.125,781.47,704.4,0.03919242731509183,0.18974048755655715,C:\Users\Marta.Benedetti\OneDrive - ESA\Desktop\lunar_lander\models\reward_dqn_attitude_stability_seed_999.zip
reward_dqn_soft_landing_seed_42,DQN,soft_landing,42,0.0,0.0,0.1,-45.11349187234827,23.536196082177536,0.0,0.01,998.385,674.55,0.069903750672141,0.1629949812092367,C:\Users\Marta.Benedetti\OneDrive - ESA\Desktop\lunar_lander\models\reward_dqn_soft_landing_seed_42.zip
