algorithm,case,obs_noise_std,action_dropout_prob,mean_reward,std_reward,success_rate,crash_rate,mean_episode_length,mean_fuel_proxy,mean_final_distance_to_pad,mean_abs_angle,mean_speed
DQN,nominal,0.0,0.0,231.68857220708756,31.733495546704173,0.795,0.0,484.62,312.76,0.059438811200961936,0.06043797594144154,0.2181179196923852
DQN,very_low_sensor_noise,0.005,0.0,228.96185607019078,36.69719450537797,0.795,0.0,497.725,325.755,0.0607905412861146,0.060371177760972235,0.216047732810552
DQN,low_sensor_noise,0.01,0.0,223.02613445877358,42.803794453115756,0.78,0.0,584.035,345.2,0.056472416949691254,0.052474215023359846,0.18901172370938654
DQN,medium_sensor_noise,0.02,0.0,142.77675408782738,37.31749302973744,0.09,0.0,966.96,528.455,0.05705932088429108,0.03822387610902016,0.11892074397677577
DQN,high_sensor_noise,0.05,0.0,132.9630939689067,26.78104752143478,0.01,0.0,993.195,780.19,0.08688205929473042,0.05745087861040064,0.1429667206388542
DQN,low_thruster_dropout,0.0,0.05,232.53847440684302,33.13883806777769,0.845,0.0,484.205,321.055,0.06110176685411716,0.061223253000072225,0.21914371075047304
DQN,high_thruster_dropout,0.0,0.15,236.3584603801134,41.41262101805744,0.87,0.0,458.15,332.535,0.0640181048787781,0.07054055391485797,0.23318979222847028
DQN,combined_noise_dropout,0.02,0.05,145.9319071823005,37.61783872170339,0.085,0.0,956.0,534.75,0.05824046679772436,0.039239022969656825,0.1216112059304461
PPO,nominal,0.0,0.0,275.80088571538295,20.98850749769961,1.0,0.0,251.845,162.85,0.03832338169275317,0.07319261145512213,0.3331728702970743
PPO,very_low_sensor_noise,0.005,0.0,275.1519399358904,25.236057053869274,0.995,0.0,255.52,165.545,0.038922088623512534,0.07477191133878142,0.3331601967111773
PPO,low_sensor_noise,0.01,0.0,275.3178257791842,26.633256574460866,0.995,0.0,249.075,164.74,0.04211405389534775,0.07590461970877155,0.3395242701940212
PPO,medium_sensor_noise,0.02,0.0,276.8304796124469,24.479256508328014,0.995,0.0,246.72,167.01,0.05041275379713625,0.07988150404473018,0.34760356094515316
PPO,high_sensor_noise,0.05,0.0,270.96441369684436,49.49506049186508,0.96,0.0,241.72,163.29,0.09061452696099877,0.10179641737119204,0.3813526942734786
PPO,low_thruster_dropout,0.0,0.05,273.614791736699,33.71447382212672,0.985,0.0,257.205,167.36,0.04171275158470962,0.07710300573092367,0.3361125410645856
PPO,high_thruster_dropout,0.0,0.15,224.48950945196694,112.1521716687855,0.83,0.025,264.805,185.59,0.09620900895242812,0.11563886795170503,0.3937664118084062
PPO,combined_noise_dropout,0.02,0.05,268.75347629245175,52.81655333503124,0.955,0.005,267.285,178.495,0.05940718974918127,0.0862506288507447,0.3504950271340313
